Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
11/30/2021,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
12/31/2021,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
12/31/2021,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",1,1
8/31/2021,Richmond Terrace,1149,Amherstburg,WINDSOR-ESSEX,0.84,0.84
9/30/2021,Richmond Terrace,1149,Amherstburg,WINDSOR-ESSEX,0.87,0.85
10/31/2021,Richmond Terrace,1149,Amherstburg,WINDSOR-ESSEX,0.93,0.93
11/30/2021,Richmond Terrace,1149,Amherstburg,WINDSOR-ESSEX,1,0.99
12/31/2021,Richmond Terrace,1149,Amherstburg,WINDSOR-ESSEX,1,1
8/31/2021,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,0.9,0.84
9/30/2021,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,0.98,0.95
10/31/2021,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,1,0.99
11/30/2021,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,1,1
12/31/2021,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,1,1
8/31/2021,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,0.95,0.92
8/31/2021,The Meadows,2844,Ancaster,HAMILTON,0.92,0.9
9/30/2021,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,0.98,0.95
9/30/2021,The Meadows,2844,Ancaster,HAMILTON,0.97,0.95
10/31/2021,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,1,0.99
10/31/2021,The Meadows,2844,Ancaster,HAMILTON,0.98,0.96
11/30/2021,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,1,1
11/30/2021,The Meadows,2844,Ancaster,HAMILTON,0.98,0.97
12/31/2021,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,1,1
12/31/2021,The Meadows,2844,Ancaster,HAMILTON,1,1
8/31/2021,"The Grove, Arnprior and District Nursing Home",2699,Arnprior,RENFREW,0.93,0.91
9/30/2021,"The Grove, Arnprior and District Nursing Home",2699,Arnprior,RENFREW,0.93,0.89
10/31/2021,"The Grove, Arnprior and District Nursing Home",2699,Arnprior,RENFREW,0.94,0.93
11/30/2021,"The Grove, Arnprior and District Nursing Home",2699,Arnprior,RENFREW,1,0.99
12/31/2021,"The Grove, Arnprior and District Nursing Home",2699,Arnprior,RENFREW,1,1
8/31/2021,Caressant Care Arthur Nursing Home,2748,Arthur,WELLINGTON-DUFFERIN-GUELPH,0.95,0.92
9/30/2021,Caressant Care Arthur Nursing Home,2748,Arthur,WELLINGTON-DUFFERIN-GUELPH,0.97,0.96
10/31/2021,Caressant Care Arthur Nursing Home,2748,Arthur,WELLINGTON-DUFFERIN-GUELPH,0.97,0.96
11/30/2021,Caressant Care Arthur Nursing Home,2748,Arthur,WELLINGTON-DUFFERIN-GUELPH,1,1
12/31/2021,Caressant Care Arthur Nursing Home,2748,Arthur,WELLINGTON-DUFFERIN-GUELPH,1,1
8/31/2021,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.87,0.86
9/30/2021,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.94,0.91
10/31/2021,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.99,0.96
11/30/2021,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.99,0.99
12/31/2021,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",1,1
8/31/2021,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,0.87,0.85
9/30/2021,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,0.91,0.9
10/31/2021,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,0.98,0.9
11/30/2021,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,1,0.99
12/31/2021,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,1,1
8/31/2021,Chartwell Aurora Long Term Care Residence,2630,Aurora,YORK REGION,0.89,0.87
8/31/2021,The Willows Estate Nursing Home,2174,Aurora,YORK REGION,0.96,0.95
9/30/2021,Chartwell Aurora Long Term Care Residence,2630,Aurora,YORK REGION,0.92,0.9
9/30/2021,The Willows Estate Nursing Home,2174,Aurora,YORK REGION,1,0.95
10/31/2021,Chartwell Aurora Long Term Care Residence,2630,Aurora,YORK REGION,0.93,0.9
10/31/2021,The Willows Estate Nursing Home,2174,Aurora,YORK REGION,1,0.99
11/30/2021,Chartwell Aurora Long Term Care Residence,2630,Aurora,YORK REGION,1,1
11/30/2021,The Willows Estate Nursing Home,2174,Aurora,YORK REGION,1,1
12/31/2021,The Willows Estate Nursing Home,2174,Aurora,YORK REGION,1,1
8/31/2021,Chartwell Aylmer Long Term Care Residence,2740,Aylmer,SOUTH WEST,0.95,0.94
8/31/2021,Terrace Lodge,M583,Aylmer,SOUTH WEST,0.77,0.76
9/30/2021,Chartwell Aylmer Long Term Care Residence,2740,Aylmer,SOUTH WEST,0.95,0.95
9/30/2021,Terrace Lodge,M583,Aylmer,SOUTH WEST,0.81,0.79
10/31/2021,Chartwell Aylmer Long Term Care Residence,2740,Aylmer,SOUTH WEST,1,1
10/31/2021,Terrace Lodge,M583,Aylmer,SOUTH WEST,0.95,0.87
11/30/2021,Chartwell Aylmer Long Term Care Residence,2740,Aylmer,SOUTH WEST,1,1
11/30/2021,Terrace Lodge,M583,Aylmer,SOUTH WEST,1,1
12/31/2021,Chartwell Aylmer Long Term Care Residence,2740,Aylmer,SOUTH WEST,1,1
12/31/2021,Terrace Lodge,M583,Aylmer,SOUTH WEST,1,1
8/31/2021,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,0.73,0.67
9/30/2021,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,0.84,0.71
10/31/2021,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,0.91,0.89
11/30/2021,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,1,0.99
12/31/2021,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,1,1
8/31/2021,Bob Rumball Home for The Deaf,2967,Barrie,SIMCOE-MUSKOKA,0.96,0.95
8/31/2021,Coleman Care Centre,2696,Barrie,SIMCOE-MUSKOKA,0.96,0.91
8/31/2021,Grove Park Home For Senior Citizens,2950,Barrie,SIMCOE-MUSKOKA,0.9,0.87
8/31/2021,IOOF Seniors Home,2993,Barrie,SIMCOE-MUSKOKA,0.93,0.87
8/31/2021,Mill Creek Care Centre,2981,Barrie,SIMCOE-MUSKOKA,0.91,0.87
8/31/2021,Owen Hill Care Community,2584,Barrie,SIMCOE-MUSKOKA,0.95,0.88
8/31/2021,Roberta Place,2839,Barrie,SIMCOE-MUSKOKA,0.96,0.93
8/31/2021,Victoria Village Manor,2914,Barrie,SIMCOE-MUSKOKA,0.93,0.9
8/31/2021,Woods Park Care Centre,2821,Barrie,SIMCOE-MUSKOKA,0.93,0.88
9/30/2021,Bob Rumball Home for The Deaf,2967,Barrie,SIMCOE-MUSKOKA,0.96,0.94
9/30/2021,Coleman Care Centre,2696,Barrie,SIMCOE-MUSKOKA,0.97,0.95
9/30/2021,Grove Park Home For Senior Citizens,2950,Barrie,SIMCOE-MUSKOKA,0.92,0.9
9/30/2021,IOOF Seniors Home,2993,Barrie,SIMCOE-MUSKOKA,0.95,0.94
9/30/2021,Mill Creek Care Centre,2981,Barrie,SIMCOE-MUSKOKA,0.92,0.91
9/30/2021,Owen Hill Care Community,2584,Barrie,SIMCOE-MUSKOKA,0.99,0.96
9/30/2021,Roberta Place,2839,Barrie,SIMCOE-MUSKOKA,0.96,0.9
9/30/2021,Victoria Village Manor,2914,Barrie,SIMCOE-MUSKOKA,0.94,0.94
9/30/2021,Woods Park Care Centre,2821,Barrie,SIMCOE-MUSKOKA,1,0.91
10/31/2021,Bob Rumball Home for The Deaf,2967,Barrie,SIMCOE-MUSKOKA,0.97,0.95
10/31/2021,Coleman Care Centre,2696,Barrie,SIMCOE-MUSKOKA,1,0.98
10/31/2021,Grove Park Home For Senior Citizens,2950,Barrie,SIMCOE-MUSKOKA,0.94,0.91
10/31/2021,IOOF Seniors Home,2993,Barrie,SIMCOE-MUSKOKA,0.96,0.95
10/31/2021,Mill Creek Care Centre,2981,Barrie,SIMCOE-MUSKOKA,0.99,0.98
10/31/2021,Owen Hill Care Community,2584,Barrie,SIMCOE-MUSKOKA,1,1
10/31/2021,Roberta Place,2839,Barrie,SIMCOE-MUSKOKA,1,0.99
10/31/2021,Victoria Village Manor,2914,Barrie,SIMCOE-MUSKOKA,0.97,0.94
10/31/2021,Woods Park Care Centre,2821,Barrie,SIMCOE-MUSKOKA,0.99,0.99
11/30/2021,Bob Rumball Home for The Deaf,2967,Barrie,SIMCOE-MUSKOKA,1,1
11/30/2021,Coleman Care Centre,2696,Barrie,SIMCOE-MUSKOKA,1,1
11/30/2021,Grove Park Home For Senior Citizens,2950,Barrie,SIMCOE-MUSKOKA,1,0.99
11/30/2021,IOOF Seniors Home,2993,Barrie,SIMCOE-MUSKOKA,0.99,0.99
11/30/2021,Mill Creek Care Centre,2981,Barrie,SIMCOE-MUSKOKA,0.99,0.99
11/30/2021,Owen Hill Care Community,2584,Barrie,SIMCOE-MUSKOKA,1,1
11/30/2021,Roberta Place,2839,Barrie,SIMCOE-MUSKOKA,1,1
11/30/2021,Victoria Village Manor,2914,Barrie,SIMCOE-MUSKOKA,1,1
11/30/2021,Woods Park Care Centre,2821,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Coleman Care Centre,2696,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Grove Park Home For Senior Citizens,2950,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,IOOF Seniors Home,2993,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Mill Creek Care Centre,2981,Barrie,SIMCOE-MUSKOKA,0.99,0.99
12/31/2021,Owen Hill Care Community,2584,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Roberta Place,2839,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Victoria Village Manor,2914,Barrie,SIMCOE-MUSKOKA,1,1
12/31/2021,Woods Park Care Centre,2821,Barrie,SIMCOE-MUSKOKA,1,1
10/31/2021,Valley Manor Nursing Home,2675,Barry's Bay,RENFREW,0.84,0.8
11/30/2021,Valley Manor Nursing Home,2675,Barry's Bay,RENFREW,0.98,0.95
12/31/2021,Valley Manor Nursing Home,2675,Barry's Bay,RENFREW,0.96,0.93
8/31/2021,Valley Manor Nursing Home,2675,Barry's Bay,RENFREW,0.76,0.74
9/30/2021,Valley Manor Nursing Home,2675,Barry's Bay,RENFREW,0.76,0.72
8/31/2021,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,0.81,0.78
9/30/2021,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,0.83,0.8
10/31/2021,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,0.94,0.9
11/30/2021,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,1,0.97
12/31/2021,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,1,1
8/31/2021,Lakeview Manor,M546,Beaverton,DURHAM,0.89,0.89
9/30/2021,Lakeview Manor,M546,Beaverton,DURHAM,0.92,0.91
10/31/2021,Lakeview Manor,M546,Beaverton,DURHAM,1,0.96
11/30/2021,Lakeview Manor,M546,Beaverton,DURHAM,1,0.98
12/31/2021,Lakeview Manor,M546,Beaverton,DURHAM,1,1
8/31/2021,Simcoe Manor Home for the Aged,M573,Beeton,SIMCOE-MUSKOKA,0.85,0.85
9/30/2021,Simcoe Manor Home for the Aged,M573,Beeton,SIMCOE-MUSKOKA,0.91,0.88
10/31/2021,Simcoe Manor Home for the Aged,M573,Beeton,SIMCOE-MUSKOKA,0.96,0.93
11/30/2021,Simcoe Manor Home for the Aged,M573,Beeton,SIMCOE-MUSKOKA,1,0.99
12/31/2021,Simcoe Manor Home for the Aged,M573,Beeton,SIMCOE-MUSKOKA,1,1
8/31/2021,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,0.89,0.84
8/31/2021,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,0.84,0.76
8/31/2021,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,0.76,0.72
9/30/2021,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,0.94,0.87
9/30/2021,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,0.93,0.85
9/30/2021,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,0.96,0.83
10/31/2021,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,0.97,0.95
10/31/2021,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,0.98,0.96
10/31/2021,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,0.98,0.97
11/30/2021,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,1,1
11/30/2021,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,1,1
11/30/2021,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,1,1
12/31/2021,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,1,1
12/31/2021,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,1,1
12/31/2021,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,1,1
8/31/2021,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.87,0.83
9/30/2021,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.94,0.92
10/31/2021,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.99,0.99
11/30/2021,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.99,0.99
12/31/2021,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,1,1
10/31/2021,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
10/31/2021,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,1,1
11/30/2021,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
11/30/2021,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,1,1
12/31/2021,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
12/31/2021,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,1,1
8/31/2021,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
8/31/2021,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,0.95,0.9
9/30/2021,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
9/30/2021,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,0.98,0.95
8/31/2021,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.76
8/31/2021,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.74
9/30/2021,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,0.93,0.86
9/30/2021,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.86,0.77
10/31/2021,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,0.93,0.86
10/31/2021,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.89,0.83
11/30/2021,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,1,1
11/30/2021,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.95,0.94
12/31/2021,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,1,1
12/31/2021,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,1,1
8/31/2021,King Nursing Home,901,Bolton,PEEL,0.94,0.88
8/31/2021,Vera M. Davis Community Care Centre,2734,Bolton,PEEL,0.92,0.91
9/30/2021,King Nursing Home,901,Bolton,PEEL,0.96,0.89
9/30/2021,Vera M. Davis Community Care Centre,2734,Bolton,PEEL,0.94,0.92
10/31/2021,King Nursing Home,901,Bolton,PEEL,0.94,0.93
10/31/2021,Vera M. Davis Community Care Centre,2734,Bolton,PEEL,1,0.96
11/30/2021,King Nursing Home,901,Bolton,PEEL,1,1
11/30/2021,Vera M. Davis Community Care Centre,2734,Bolton,PEEL,0.98,0.97
12/31/2021,King Nursing Home,901,Bolton,PEEL,1,1
12/31/2021,Vera M. Davis Community Care Centre,2734,Bolton,PEEL,1,1
8/31/2021,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,0.97,0.97
9/30/2021,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,0.98,0.97
10/31/2021,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,1,1
11/30/2021,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,1,1
12/31/2021,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,1,1
8/31/2021,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.91,0.89
9/30/2021,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.94,0.93
10/31/2021,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.96,0.95
11/30/2021,Glen Hill Strathaven,2605,Bowmanville,DURHAM,1,0.99
8/31/2021,The Pines,M564,Bracebridge,SIMCOE-MUSKOKA,0.98,0.93
9/30/2021,The Pines,M564,Bracebridge,SIMCOE-MUSKOKA,0.84,0.84
10/31/2021,The Pines,M564,Bracebridge,SIMCOE-MUSKOKA,0.85,0.85
11/30/2021,The Pines,M564,Bracebridge,SIMCOE-MUSKOKA,1,0.99
12/31/2021,The Pines,M564,Bracebridge,SIMCOE-MUSKOKA,1,1
8/31/2021,Bradford Valley Care Community,2905,Bradford,SIMCOE-MUSKOKA,0.94,0.91
9/30/2021,Bradford Valley Care Community,2905,Bradford,SIMCOE-MUSKOKA,0.96,0.91
10/31/2021,Bradford Valley Care Community,2905,Bradford,SIMCOE-MUSKOKA,1,0.99
11/30/2021,Bradford Valley Care Community,2905,Bradford,SIMCOE-MUSKOKA,1,1
12/31/2021,Bradford Valley Care Community,2905,Bradford,SIMCOE-MUSKOKA,1,1
8/31/2021,Burton Manor,2953,Brampton,PEEL,0.95,0
8/31/2021,Extendicare Brampton,2847,Brampton,PEEL,0.94,0.94
8/31/2021,Faith Manor Nursing Home,2745,Brampton,PEEL,0.93,0.75
8/31/2021,Grace Manor,2942,Brampton,PEEL,0.93,0.69
8/31/2021,Hawthorn Woods Care Community,2887,Brampton,PEEL,0.91,0.84
8/31/2021,Maple Grove Care Community,2911,Brampton,PEEL,0.93,0.89
8/31/2021,Peel Manor,M562,Brampton,PEEL,0.91,0.86
8/31/2021,Tall Pines Long Term Care Centre,M616,Brampton,PEEL,0.87,0.84
8/31/2021,The Village of Sandalwood Park,2859,Brampton,PEEL,0.94,0.92
8/31/2021,Tullamore Care Community,963,Brampton,PEEL,0.89,0.85
8/31/2021,Woodhall Park Care Community,2928,Brampton,PEEL,0.9,0.81
9/30/2021,Burton Manor,2953,Brampton,PEEL,0.93,0.9
9/30/2021,Extendicare Brampton,2847,Brampton,PEEL,0.95,0.94
9/30/2021,Faith Manor Nursing Home,2745,Brampton,PEEL,0.95,0.89
9/30/2021,Grace Manor,2942,Brampton,PEEL,0.95,0.86
9/30/2021,Hawthorn Woods Care Community,2887,Brampton,PEEL,0.93,0.91
9/30/2021,Maple Grove Care Community,2911,Brampton,PEEL,0.94,0.92
9/30/2021,Peel Manor,M562,Brampton,PEEL,0.92,0.9
9/30/2021,Tall Pines Long Term Care Centre,M616,Brampton,PEEL,0.87,0.86
9/30/2021,The Village of Sandalwood Park,2859,Brampton,PEEL,0.95,0.94
9/30/2021,Tullamore Care Community,963,Brampton,PEEL,0.95,0.92
9/30/2021,Woodhall Park Care Community,2928,Brampton,PEEL,0.95,0.91
10/31/2021,Burton Manor,2953,Brampton,PEEL,1,1
10/31/2021,Extendicare Brampton,2847,Brampton,PEEL,1,0.99
10/31/2021,Faith Manor Nursing Home,2745,Brampton,PEEL,0.98,0.96
10/31/2021,Grace Manor,2942,Brampton,PEEL,0.98,0.95
10/31/2021,Hawthorn Woods Care Community,2887,Brampton,PEEL,0.98,0.97
10/31/2021,Maple Grove Care Community,2911,Brampton,PEEL,1,0.99
10/31/2021,Peel Manor,M562,Brampton,PEEL,0.95,0.92
10/31/2021,Tall Pines Long Term Care Centre,M616,Brampton,PEEL,0.91,0.88
10/31/2021,The Village of Sandalwood Park,2859,Brampton,PEEL,1,1
10/31/2021,Tullamore Care Community,963,Brampton,PEEL,1,0.98
10/31/2021,Woodhall Park Care Community,2928,Brampton,PEEL,1,0.98
11/30/2021,Burton Manor,2953,Brampton,PEEL,1,1
11/30/2021,Extendicare Brampton,2847,Brampton,PEEL,1,1
11/30/2021,Faith Manor Nursing Home,2745,Brampton,PEEL,1,1
11/30/2021,Grace Manor,2942,Brampton,PEEL,1,0.98
11/30/2021,Hawthorn Woods Care Community,2887,Brampton,PEEL,1,1
11/30/2021,Maple Grove Care Community,2911,Brampton,PEEL,1,0.98
11/30/2021,Peel Manor,M562,Brampton,PEEL,1,0.98
11/30/2021,Tall Pines Long Term Care Centre,M616,Brampton,PEEL,0.95,0.9
11/30/2021,The Village of Sandalwood Park,2859,Brampton,PEEL,1,1
11/30/2021,Tullamore Care Community,963,Brampton,PEEL,1,0.99
11/30/2021,Woodhall Park Care Community,2928,Brampton,PEEL,1,0.98
12/31/2021,Extendicare Brampton,2847,Brampton,PEEL,1,1
12/31/2021,Faith Manor Nursing Home,2745,Brampton,PEEL,1,1
12/31/2021,Grace Manor,2942,Brampton,PEEL,1,1
12/31/2021,Hawthorn Woods Care Community,2887,Brampton,PEEL,1,1
12/31/2021,Maple Grove Care Community,2911,Brampton,PEEL,1,1
12/31/2021,Peel Manor,M562,Brampton,PEEL,1,1
12/31/2021,Tall Pines Long Term Care Centre,M616,Brampton,PEEL,1,0.99
12/31/2021,The Village of Sandalwood Park,2859,Brampton,PEEL,1,1
12/31/2021,Tullamore Care Community,963,Brampton,PEEL,1,1
12/31/2021,Woodhall Park Care Community,2928,Brampton,PEEL,1,0.99
8/31/2021,Brierwood Gardens LTC,2678,Brantford,BRANT,0.86,0.82
8/31/2021,Fox Ridge Care Community,2570,Brantford,BRANT,0.96,0.9
8/31/2021,Hardy Terrace,2720,Brantford,BRANT,0.93,0.92
8/31/2021,John Noble Home,M544,Brantford,BRANT,0.86,0.85
8/31/2021,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.84,0.81
9/30/2021,Brierwood Gardens LTC,2678,Brantford,BRANT,0.87,0.85
9/30/2021,Fox Ridge Care Community,2570,Brantford,BRANT,0.97,0.95
9/30/2021,Hardy Terrace,2720,Brantford,BRANT,0.93,0.92
9/30/2021,John Noble Home,M544,Brantford,BRANT,0.86,0.81
9/30/2021,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.88,0.86
10/31/2021,Brierwood Gardens LTC,2678,Brantford,BRANT,0.99,0.99
10/31/2021,Fox Ridge Care Community,2570,Brantford,BRANT,1,0.97
10/31/2021,Hardy Terrace,2720,Brantford,BRANT,1,0.98
10/31/2021,John Noble Home,M544,Brantford,BRANT,0.85,0.83
10/31/2021,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.94,0.91
11/30/2021,Brierwood Gardens LTC,2678,Brantford,BRANT,0.99,0.99
