Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Communities,Infrastructure,Amherstburg,Reconstruction of Sanitary Sewers on George and Seymour Streets,Planning,2022,"Reconstruction of the existing sanitary system along three streets in the town’s historic core, including a new PCV sewer system that have a 100-year lifecycle, reducing potential for basement flooding, and groundwater and stormwater infiltration.",,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,"$2,337,500 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,42.1016,-83.10746,
Roads and bridges,Infrastructure,Amherstburg,Reconstruction of Bridge 3012,Planning,2022,Bridge 3012 over the River Canard will be replaced and the roadways leading to the bridge will be rebuilt. These upgrades will improve the safety of travellers and extend the lifespan of the bridge.,,Essex,Southwest,271 Sandwich Street/Rue South/Sud,N9V2A5,,"$2,874,885 ",Yes,Yes,Yes,,,42.174754,-83.03447,
Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Equipment Upgrades at Water Treatment Plant ,Under construction,2022,"Install new pumps,  in-line chlorine analyzer and turbidity analyzer, and replace Greensand media with Greensand Plus media. ",More secure drinking water and reduced used of chemicals.,Rainy River,Northwest,,P0W 1J0,,"$42,753 ",,Yes,Yes,Yes,,49.097745,-94.315207,
Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Equipment Upgrades at Wastewater Treatment Plant ,Under construction,2022,"Replace transfer pump, leaking valves and pipes, install pressure washer and gas detection equipment. ",Improved protection to Lake of the Woods from sewage spills. ,Rainy River,Northwest,,P0W 1J0,,"$17,625 ",,Yes,Yes,Yes,,49.097745,-94.315207,
Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Councillors' Houses and Meeting Grounds Water treatment Plant Equipment Upgrades,Under construction,2022,"Replace well pump, install chlorine analyzer and alarm, and replace pressure tank. ",Safer and more secure water supply. ,Rainy River,Northwest,,P0W 1J0,,"$24,000 ",,Yes,Yes,Yes,,49.097745,-94.315207,
Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Equipment Upgrades at Sewage Pumping Station,Under construction,2022,Install bollards to protect electrical panel.,Reduced risk of pump failure due to traffic damage to panel and thus sewage from overflowing at station. ,Rainy River,Northwest,,P0W 1J0,,"$2,250 ",,Yes,Yes,Yes,,49.097745,-94.315207,
Communities,Infrastructure,Anishinaabeg of Naongashiing First Nation,Anishinaabeg of Naongashiing ,Planning,23-Oct,Sewage lagoon,,Rainy River,Northwest,General Delivery,P0W1J0,,"$2,787,748 ",Yes,Yes,Yes,,,49.118469,-94.313364,
Broadband,Infrastructure,Anishinabe of Wauzhushk Onigum First Nation,Grand Council Treaty #3 Territorial Internet Connectivity Project,Planning,24-Mar,New broadband construction by the Bell Telephone,Providing reliable internet access,Kenora,Northwest,,,,"$53,979,700 ",,Yes,Yes,Yes,,49.3518926,-93.890511,
Recreation,Infrastructure,Armstrong,Rehabilitation of the (Earlton) Pool Building Facility,Planning,2022,"Replacement of plumbing and drains, upgrading the boiler to a gas heating unit paired with a rooftop solar array, raising the foundation of the facility, improvements to the entrance to connect to access routes of the parking area, and the creation of fully accessible washrooms, change rooms, and reception area.",,Timiskaming,Northeast,35 Tenth Street/Rue,P0J1E0,,"$473,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,47.712844,-79.827977,
Education,Education,Arnprior,École élémentaire catholique Arnprior,Under construction,23-Sep,Construction of new school,"New facility to accommodate 248 underserved French-language students, including the construction of 49 child care spaces",Renfrew,East,225 BASKIN DR W,K7S 0E3,,"$12,887,349 ",,Yes,,Yes,,45.42943,-76.37479,
Communities,Infrastructure,Arnprior,Replacement of the 400mm Madawaska River Water main,Planning,2022,"Replacement of the 400 mm water main that spans from the Arnprior Water Treatment Plant, across the Madawaska River, and to the elevated water storage tower. This will increase the reliability of the water distribution system, and reduce maintenance costs.",,Renfrew,East,105 Elgin Street/Rue West/Ouest,K7S0A8,,"$2,736,150 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,45.426952,-76.35253,
Communities,Transportation,Arnprior,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Renfrew,East,16 Baskin Dr W,,,0,,,,,,45.42463,-76.36856,
Communities,Infrastructure,Aroland First Nation,Aroland First Nation Sewage Lagoons Remediation,Under construction,2022,Remediate the existing lagoons to deal with issues of new vegetation and remove the solid materials that are filling the lagoon to capacity. ,Limit untreated wastewater entering the environment and negatively impacting surrounding communities. ,Thunder Bay,Northwest,,P0T 2H0,,"$49,125 ",,Yes,Yes,Yes,,50.166667,-86.7,
Recreation,Infrastructure,Arran-Elderslie,Paisley Town Hall Accessibility Project,Planning,2021,"The project will install an accessibility lift and a hoist beam, which also involves drywall, framing, flooring, and painting. In addition, the furnace will be upgraded. The changes will improve accessibility to this historic building.",,Bruce,Southwest,1925 Bruce Road 10,N0G1L0,,"$193,988 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.306407,-81.272633,
Roads and bridges,Infrastructure,Arran-Elderslie,Soper's Bridge Replacement,Planning,2021,Replace Soper's Bridge with a new two-lane concrete girder bridge.,,Bruce,Southwest,,,,"$669,140 ",Yes,Yes,Yes,,,44.445112,-81.188358,
Broadband,Infrastructure,Ashfield-Colborne-Wawanosh,Lucknow - Southeast UBF Project,Planning,25-Dec,New broadband construction by Huron Communications,Providing reliable internet access,Huron,Southwest,,,,"$795,750 ",,Yes,Yes,Yes,,43.9084715,-81.4986651,
Broadband,Infrastructure,Ashfield-Colborne-Wawanosh,Goderich - North UBF Project,Planning,25-Mar,New broadband construction by Huron Communications,Providing reliable internet access,Huron,Southwest,,,,"$2,703,837 ",,Yes,Yes,Yes,,43.7561627,-81.6297219,
Communities,Infrastructure,Ashfield-Colborne-Wawanosh,"Dungannon Drinking Water System Arsenic Treatment, Reservoir and Pump Station",Planning,2022,"Addition of four new arsenic filters, two new interconnected reservoir tanks for treated water, a new septic system for arsenic treatment backwash water disposal, and new piping. This will reduce arsenic concentrations and add storage to the system.",,Huron,Southwest,82133 Council Line,N7A3Y2,,"$1,024,440 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,43.852382,-81.595209,
Child care,Education,Asphodel-Norwood,Norwood District Public Secondary School,Under construction,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,Peterborough,East,44 ELM ST,K0L 2V0,,"$3,374,309 ",,Yes,,Yes,,44.38282,-77.97247,
Recreation,Infrastructure,Asphodel-Norwood,Community Centre Expansion Project,Planning,2022,"The project will construct a 3,500 square foot expansion to the community centre. The expansion will include a studio space, fitness area and accessible change rooms and showers. The expansion will better meet the recreational and social needs of residents and the surrounding communities.",,Peterborough,East,2357 County Road,K0L2V0,,"$1,164,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61090/en-nr-pete,44.380622,-77.971954,
Roads and bridges,Infrastructure,Asphodel-Norwood,Reconstruction of a Section of Centre Line Road,Planning,2021,Nine kilometres of Centre Line Road between County Road 45 and Asphodel 3rd Line will be reconstructed with upgrades completed on another 3 kilometres. These improvements will enhance road safety and improve sightlines at seven intersections.,,Peterborough,East,2357 County Road,K0L2V0,,"$1,793,336 ",Yes,Yes,Yes,,,44.338659,-77.99319,
Broadband,Infrastructure,Assiginack,Huron Shore and Manitoulin Island Community Owned Fiber Infrastructure (H&M COFI) Project,Planning,24-Mar,New broadband construction by ROCK Networks,Providing reliable internet access,Manitoulin,Northeast,,,,"$164,378,209 ",Yes,Yes,Yes,Yes,,45.7792555,-82.2034319,
Recreation,Infrastructure,Assiginack,Renovate and Rehabilitate Recreation at Assiginack Fairgrounds,Planning,24-Dec,"Renovations involve upgrading the baseball diamond lighting, sliding hill, and outdoor track, building a basketball court, jumping pits and a new storage building, converting part of the arena to a multi-purpose fitness room, installing soccer nets, as well as purchasing and installing exercise equipment for the fitness room.",,Manitoulin,Northeast,156 Arthur Street,P0P1N0,,"$665,703 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,45.740546,-81.812333,
Recreation,"Tourism, Culture and Sport",Assiginack,Assiginack Tp,Under construction,23-Feb,"Our Municipality, with a $481,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by retrofitting the High Falls Park and Trail with a new barrier-free bridge and walkway to connect trails and increase accessibility and access. ",,Manitoulin,Northeast,13778  Hwy 6,P0P 1N0,,"$481,000 ",,Yes,,,,45.80257,-81.85264,
Communities,Infrastructure,Atikameksheng Anishnawbek First Nation,Aitkameksheng Anishnawbek ,Planning,2021,Septic and Watermain Upgrade,,,Northeast,25 Reserve Road,P0M2M0,,"$1,240,061 ",Yes,Yes,Yes,,,46.398007,-81.17725,
Roads and bridges,Infrastructure,Atikameksheng Anishnawbek First Nation,New by-pass road in Atikameksheng Anishnawbek,Planning,25-Mar,"Construction of approximately 5 kilometres for a new by-pass road, which will include gravel and asphalt components",,,Northeast,25 Reserve Road,P0M2M0,,"$4,582,455 ",Yes,Yes,Yes,,,46.401118,-81.178144,
Education,Education,Atikokan,Atikokan Public Elementary and Secondary School,Under construction,2022,Expansion of existing school,"New classroom addition of 354 pupil places to accommodate students as a result of consolidation, including 49 child care spaces and 1 EarlyON room",Rainy River,Northwest,324 MERCURY AVE,P0T 1C0,,"$30,949,076 ",,Yes,,Yes,,48.76249,-91.61241,
Communities,Infrastructure,Atikokan,Atikokan Sewage Works,Planning,2021,Rehabilitation of Atikokan's existing sewage treatment plant and five pumping stations. ,"Improved efficiency and capacity of wastewater treatment in the Town of Atikokan, and better to protection of  the Atikokan River.",Rainy River,Northwest,120 Marks Street,P0T1C0,,"$2,139,337 ",Yes,Yes,Yes,,,48.75563,-91.632807,
Roads and bridges,Infrastructure,Atikokan,Atikokan Resurfacing and Curbing Project,Planning,26-Oct,"Road resurfacing, drainage improvements and new curbing of main roads will increase motorist safety, improve the flow of traffic.",,Rainy River,Northwest,120 Marks Street,P0T1C0,,"$4,662,596 ",Yes,Yes,Yes,,,48.763809,-91.620329,
Recreation,Northern Development,Atikokan,Friends of White Otter Castle Inc. - New Restorations to White Otter Castle Historical Landmark,Under construction,22-Dec,"Funding is to support the upgrade, restoration and repair to the White Otter Castle historical landmark situated remotely between Dryden, Ignace and Atikokan.","The White Otter Castle will sustain its legitimacy as one of Northwestern Ontario’s highest-profile historical landmarks and tourist attractions, generating significant economic activity across multiple towns and sustaining jobs in the service sector. The project will directly create 20 full-time seasonal jobs sustained over the two-year period with spin-off impacts in the building supply and equipment rental sector.",Rainy River,Northwest,PO Box 218,P0T 1C0,,"$235,310 ",,Yes,Yes,,,49.0578,-91.909359,
Communities,Infrastructure,Attawapiskat First Nation,Repairs and Upgrades at Water Treatment Plant,Under construction,23-Sep,"Reline fuel tanks, repair heat exchanger, provide ventilation in hypochlorite and mixing room, connect generator to low lift station, service furnaces and replace filters and repair entrance gate.",More secure and safer drinking water.,Kenora,Northwest,,,,"$18,375 ",,Yes,Yes,Yes,,52.925885,-82.428892,
Communities,Infrastructure,Attawapiskat First Nation,Repairs and Upgrades at Water Treatment Plant,Under construction,23-Sep,Repair and upgrade various equipment at the water treatment plant. ,More secure and safer drinking water.,Kenora,Northwest,,,,"$130,500 ",,Yes,Yes,Yes,,52.925885,-82.428892,
Communities,Infrastructure,Attawapiskat First Nation,Repairs and Upgrades to Sewage Lagoon,Under construction,23-Sep,"Cut brush and vegetation, repair erosion on berm bank, repair fence and install gate. ",Improved environmental protection.,Kenora,Northwest,,,,"$22,575 ",,Yes,Yes,Yes,,52.925885,-82.428892,
Broadband,Infrastructure,Augusta,Leeds and Grenville - Augusta Broadband Project,Planning,24-Jun,New broadband construction by Cogeco Connexion,Providing reliable internet access,Leeds and Grenville,East,,,,"$2,186,901 ",,Yes,Yes,Yes,,44.7331446,-75.5535486,
Communities,Infrastructure,Aundeck-Omni Kaning First Nation,Rehabilitation of Water Treatment Plant.,Under construction,2022,"Replace the supervisory control and data acquisition  system, and replace the ozone generators and controllers.",Safer drinking water operations.,,Northeast,16 Wabuno Road,P0P 1K0,,"$99,114 ",,Yes,Yes,Yes,,45.958157,-81.994708,
Education,Education,Aurora,Aurora 2C Public Elementary School,Planning,24-Sep,Construction of new school,"New facility to accommodate 638 students in a growing community, including the construction of 39 child care spaces",York,Central,HARTWELL WAY/ WILLIAM GRAHAM DR,,,"$14,761,623 ",,Yes,,,,44.022071,-79.429739,
Recreation,"Tourism, Culture and Sport",Aurora,Aurora T,Under construction,23-May,"Our Municipality, with a $236,400 Community Building Fund – Capital stream grant over 12 months, will address a community need by repairing the pools at the Stronach Aurora Recreation Complex for the damage done as a result of closures during the COVID-19 pandemic. ",,York,Central,1400 Wellington Street E,L4G 7B6,,"$236,400 ",,Yes,,,,44.01128,-79.423019,
Child care,Education,Aylmer,Assumption Catholic Elementary School,Under construction,23-Jan,Renovation of existing school,Renovation to accommodate 49 child care spaces ,Elgin,Southwest,42 SOUTH ST E,N5H 1P6,,"$1,770,984 ",,Yes,,Yes,,42.77007,-80.98351,
Roads and bridges,Transportation,Aylmer,Traffic signal installation ,Planning,2021,Install traffic signals at the intersection of Talbot Street West and Caverly Road,,Elgin,Southwest,,,Highway 3,"$225,000 ",,Yes,,,,42.773196,-80.99547,
Recreation,Infrastructure,Bancroft,North Hastings Community Hub,Planning,2022,Build an inclusive and accessible community hub in the downtown core of the community,,Hastings,East,8 Hastings Heritage Way,K0L1C0,,"$1,874,900 ",Yes,Yes,Yes,,,45.058053,-77.853284,
Roads and bridges,Infrastructure,Bancroft,Replacement of the Old Hastings Road Bridge,Planning,2021,"The replacement of the existing 8.8-metre bridge with a wider, two-lane structure and accompanying barrier system will increase driver and pedestrian safety.",,Hastings,East,29860 Hwy 28 Highway,K0L1C0,,"$956,306 ",Yes,Yes,Yes,,,44.963172,-77.79272,
Recreation,"Tourism, Culture and Sport",Bancroft,Bancroft T,Under construction,23-May,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by creating a fitness centre, installing an elevator and ramps, accessible washrooms and changerooms and improving heating, ventilation and electrical. ",,Hastings,East,103 Newkirk Blvd,K0L 1C0,,"$500,000 ",,Yes,,,,45.05555,-77.846203,
Communities,Transportation,Bancroft,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Hastings,East,234 Hastings St N,,,0,,,,,,45.07027,-77.86336,
Roads and bridges,Transportation,Bancroft,Street rehabilitation,Planning,2021,Reconstruct Monck Street,,Hastings,East,,,Highway 28,"$1,689,918 ",,Yes,,,https://www.news.ontario.ca/mto/en/2019/07/connecting-links-funding-by-municipality-3.html,45.052459,-77.87683,
Roads and bridges,Transportation,Bancroft,Rehabilitation of Hastings Street North ,Under construction,23-Mar,,,Hastings,East,,,62,"$2,186,279 ",,Yes,,,,45.062804,-77.85679,
Transit,Transportation,Bancroft,New Public Transit Vehicles,Planning,23-Jun,Purchase three specialized transit fleet vehicles.,"Improved capacity, quality, and accessibility for public transit users.",Hastings,East,,,,"$210,768 ",Yes,Yes,Yes,,,45.058937,-77.85888,
Child care,Education,Barrie,St. Monica's Catholic Elementary School,Planning,23-Jan,Expansion of existing school,Addition to accommodate 39 child care spaces,Simcoe,Central,90 STEEL ST,L4M 2E9,,"$1,028,508 ",,Yes,,,,44.4026,-79.66589,
Child care,Education,Barrie,École élémentaire publique La Source,Under construction,2022,Expansion of existing school,Addition to accommodate 39 child care spaces and 1 EarlyON room,Simcoe,Central,70 MADELAINE DR,L4N 9T2,,"$2,843,578 ",,Yes,,Yes,,44.35183,-79.64351,
Communities,Infrastructure,Barrie,New Community Hub in Downtown Barrie,Planning,2020,"The new community hub, that will be operated by the YMCA of Simcoe Muskoka, will include licensed childcare spaces, a youth centre with transitional housing and outreach support, a rehabilitation space for cardiac and cancer post care patients, and various recreation areas for fitness programs.",,Simcoe,Central,22 Grove Street West,L4N1M7,,"$41,875,759 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000415/ontario-investing-over-29-million-in-new-community-hub-in-downtown-barrie,,,
Recreation,Infrastructure,Barrie,BNFC Community Centre Upgrades,Planning,2022,"The project will upgrade the mechanical, electrical, plumbing and lighting systems, doors, parking lot, as well as the acoustic panels and flooring in the gym. The changes will improve the quality, accessibility and safety of the facility.",,Simcoe,Central,175 Bayfield Street,L4M3B4,,"$916,875 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.394964,-79.694453,
Roads and bridges,Transportation,Barrie,"Hwy 400, Anne St., Barrie",Under construction,2022,Replacement of Anne St. bridge ,2 bridge replacement,Simcoe,Central,,,Highway 400,0,,Yes,,,,44.38012737,-79.71087718,
Transit,Transportation,Barrie,Conventional Bus Fleet Replacement,Planning,27-Mar,Purchase of 30 low-floor 40-foot conventional diesel buses toreplace the retiring fleet.,Improved quality and safety of the transit system.,Simcoe,Central,133 Welham Rd,L4N 8Y3,,"$23,389,023 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Barrie,On-street Infrastructure Improvements,Planning,27-Mar,"Install heated bus shelters, bus displays, bike racks, stop signs and concrete pads in the Cityof Barrie","Improved accessibility, capacity, quality and safety of existing and future transit system.",Simcoe,Central,,,,"$2,736,462 ",Yes,Yes,Yes,,,44.39074,-79.686679,
Transit,Transportation,Barrie,Specialized Fleet Replacement,Planning,27-Mar,Purchase 21 specialized city buses to replace the retiring fleet.,"Improved reliability, quality and safety of the transit system by replacing the aging fleet with new, up-to-date buses.",Simcoe,Central,,,,"$4,674,600 ",Yes,Yes,Yes,,,44.354995,-79.670543,
Transit,Transportation,Barrie,Downtown Connection Hub,Planning,22-Dec,Construction a new downtown connection hub including 2 new bus stops.,Improved quality and safetyof the existing and future transit system and improving access to public transit systems.,Simcoe,Central,,,,"$326,700 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Barrie,Allandale Mobility Hub,Planning,22-Dec,"Build a new terminal building to relocate the current downtown hub to the Allandale GO Station. This will include  extra bus platforms, bus stops, bus shelters and additional bicycle parking . ",Improved connections between GO Train andBarrie Transit service.,Simcoe,Central,,,,"$9,900,450 ",Yes,Yes,Yes,,,,,
Transit,Transportation,Barrie,Barrie Double Track - Contract 1,Under construction,To Be Determined,GO Expansion - Early Works,"Contract for grading for the second track, installing noise walls and high security fencing, drainage, and utility re-locations, on the southern portion of the corridor between Mile 1.9 to Mile 12.6. Also, Sheppard Avenue Bridge expansion on the west side (new track bridge and new pedestrian bridge), including new west platform Downsview GO Station on the pedestrian bridge)",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.709687,-79.469539,
Transit,Transportation,Barrie,Barrie Double Track - Contract 2,Planning,To Be Determined,GO Expansion - Early Works,"The Barrie Contract 2 project involves double tracking along the Barrie corridor from Rutherford (at Mile 17.50) to McNaughton Side Road (at Mile 18.61) as well as the infrastructure improvements at the Maple GO Station. The station improvements include a rehabilitated east platform, a new west side platform and commissioning of the north and south tunnel which includes elevators. The bus loop will be expanded on Eagle Rock Way with a north tunnel connection to the bus loop. Depending on commitments from the City of Vaughan, the scope may include a cycling bridge on the East side of Major MacKenzie, and a pedestrian access from the west side of the corridor on Lindenshire Ave.",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.855457,-79.506181,
Transit,Transportation,Barrie,Barrie Double Track - Contract 3,Planning,To Be Determined,GO Expansion - Early Works,"The Barrie Contract 3 project includes grading from Mi 21.1 to 29.17, 7km of noise walls, fencing, culvert extensions, utility relocations,new double-wide bridge at Yonge St., and King City GO Station Infrastructure Improvements . The Project will be delivered by two construction contracts (DBB):Phase 1 includes enabling works between Mi 24.6 and 26.5.Phase 2 includes enabling works between Mi 21.1 to 24.6 and 26.5 to 29.17, new Yonge St. bridge and King City GO StationInfrastructure Improvements.",Simcoe,Central,,,,0,,,,,http://www.metrolinx.com/en/greaterregion/projects/barrie-go-expansion.aspx,43.94978,-79.494203,
Recreation,Infrastructure,Bayham,Straffordville Community Centre in the Municipality of Bayham,Planning,2022,"The expansion of the community centre will include additional changing rooms, a canteen, universal washroom, commercial kitchen, as well as the construction of an open air pavilion. This funding will build a new accessible walking trail, repair a pavilion and sports field building and upgrade lighting inside the centre. Once completed, residents, youth and vulnerable people will have access to a spacious, all-season, accessible community hub offering extensive and better adapted recreational options.",,Elgin,Southwest,56169 Heritage Line,N0J1Y0,,"$2,003,300 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000326/canada-and-ontario-invest-over-14-million-to-rehabilitate-the-straffordville-community-centre-in-the-municipality-of-bayham,42.748739,-80.78143,
Recreation,Infrastructure,Bearskin Lake First Nation,Bearskin Lake Community Beach and Pavillion,Planning,2022,"The project will clean up two beach areas, add two pavilions and install picnic tables and potentially, washroom facilities. The upgrades will result in an improved recreational facility for residents and visitors to enjoy for years to come.",,,Northwest,160 Alcona Drive,P8T1A3,,"$562,362 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-5,53.916,-90.972,
Communities,Infrastructure,Beausoleil First Nation,Beausoleil First Nation,Planning,23-Mar,Stormwater system upgrade and existing drainage rehabilitation,,,Central,11 O'gemaa Miikaan,L9M0A9,,"$2,484,299 ",Yes,Yes,Yes,,,44.820916,-80.174672,
Recreation,Infrastructure,Beausoleil First Nation,Renovations to Historical Library Building,Planning,2021,"The project will rebuild the front steps of the library and add a ramp to improve accessibility, rebrick and parge exterior walls, and  rewire the entire building. The upgrades will improve community access and extend the life of this historic building.",,,Central,150 Mkade Kegwin Miikan,L9M0A9,,"$250,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61149/canada-and-ontario-invest-in-improved-community-cultural-and-recreational-facilities-in-first-nation-1,44.82205,-80.17563,
