Economic region code,Economic region name,Census division code,Census division name,Census subdivision code,Census subdivision name,Total Population,Total Private Dwellings,Population density (people/square km),Land area (square km),Total - Age groups,0-14 Years,15-64 Years,15-19 Years,20-24 Years,>=65,Average Age of Population,Median Age of Population,Total households by #/room,1 or fewer per room,>1 per room,Total households by housing suitability,Suitable housing,Unsuitable housing,Total owned and rented households >0 income,<30 percent of income spent on shelter,>=30 percent of income spent on shelter,30 - <100 percent of income spent on shelter,Total commuting duration,Commute <15 min,Commute 15-29 min,Commute 30-44 min,Commute 45-59 min,Commute >=60 min
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502036,"Clarence-Rockland, City (C)",26505.0,10316.0,89.1,297.47,26505.0,4710.0,16855.0,1355.0,1235.0,4945.0,42.0,43.2,10095.0,10010.0,85.0,10095.0,9860.0,235.0,10025.0,8620.0,1400.0,1355.0,9320.0,2100.0,1925.0,3105.0,1465.0,725.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502044,"Casselman, Village (VL)",3960.0,1630.0,772.2,5.13,3960.0,650.0,2485.0,205.0,220.0,830.0,42.8,43.6,1580.0,1570.0,10.0,1580.0,1550.0,30.0,1575.0,1330.0,245.0,235.0,1470.0,470.0,265.0,440.0,210.0,90.0
3510, Ottawa,3502,"Prescott and Russell, United counties (UC)",3502048,"Russell, Township (TP)",19598.0,7335.0,98.6,198.78,19595.0,3855.0,12930.0,1190.0,880.0,2810.0,39.4,39.6,7225.0,7205.0,25.0,7225.0,7070.0,160.0,7145.0,6305.0,845.0,760.0,6850.0,1730.0,1520.0,2710.0,650.0,240.0
3510, Ottawa,3506,"Ottawa, Census division (CDR)",3506008,"Ottawa, City (CV)",1017449.0,427113.0,364.9,2788.2,1017445.0,166920.0,678375.0,60385.0,70785.0,172150.0,40.7,40.0,407250.0,398225.0,9030.0,407250.0,385180.0,22070.0,404915.0,323340.0,81575.0,72595.0,275700.0,74060.0,116260.0,55365.0,15975.0,14030.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507004,"Edwardsburgh/Cardinal, Township (TP)",7505.0,3285.0,24.2,309.91,7505.0,1140.0,4645.0,335.0,340.0,1720.0,44.9,48.4,3140.0,3115.0,25.0,3140.0,3050.0,85.0,3075.0,2675.0,405.0,380.0,2780.0,680.0,925.0,550.0,345.0,280.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507006,"Augusta, Township (TP)",7386.0,3046.0,23.5,313.77,7385.0,1050.0,4535.0,415.0,330.0,1795.0,45.6,49.2,2950.0,2930.0,25.0,2950.0,2890.0,60.0,2895.0,2595.0,300.0,280.0,2965.0,875.0,1345.0,380.0,125.0,235.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507008,"Prescott, Town (T)",4078.0,1993.0,826.0,4.94,4080.0,590.0,2370.0,200.0,180.0,1115.0,46.6,49.6,1890.0,1880.0,0.0,1890.0,1835.0,55.0,1890.0,1480.0,415.0,395.0,1285.0,525.0,515.0,50.0,75.0,120.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507014,"Elizabethtown-Kitley, Township (TP)",9545.0,4029.0,17.2,555.96,9545.0,1290.0,5875.0,525.0,435.0,2385.0,46.5,51.2,3790.0,3770.0,25.0,3790.0,3730.0,55.0,3645.0,3230.0,420.0,355.0,3755.0,1220.0,1510.0,540.0,240.0,240.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507015,"Brockville, City (CY)",22116.0,11088.0,1057.8,20.91,22115.0,2660.0,12840.0,1060.0,1165.0,6620.0,48.3,51.6,10645.0,10585.0,55.0,10645.0,10260.0,385.0,10615.0,8265.0,2355.0,2215.0,7105.0,4560.0,1385.0,480.0,255.0,425.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507017,"Front of Yonge, Township (TP)",2595.0,1208.0,20.7,125.25,2595.0,335.0,1635.0,115.0,125.0,630.0,46.9,51.6,1075.0,1065.0,10.0,1075.0,1045.0,25.0,1030.0,875.0,155.0,130.0,1000.0,105.0,530.0,215.0,40.0,105.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507021,"Leeds and the Thousand Islands, Township (TP)",9804.0,5040.0,16.1,608.09,9805.0,1340.0,5840.0,435.0,405.0,2625.0,47.4,52.0,3995.0,3965.0,30.0,3995.0,3920.0,80.0,3885.0,3375.0,510.0,460.0,3525.0,820.0,970.0,1055.0,440.0,235.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507024,"Gananoque, Town (T)",5383.0,2767.0,768.4,7.01,5385.0,645.0,3140.0,245.0,220.0,1595.0,49.0,53.2,2565.0,2555.0,10.0,2565.0,2505.0,60.0,2550.0,1970.0,580.0,550.0,1815.0,740.0,450.0,520.0,75.0,30.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507033,"Westport, Village (VL)",634.0,359.0,289.0,2.19,635.0,50.0,335.0,20.0,30.0,250.0,54.2,59.6,335.0,335.0,0.0,335.0,335.0,0.0,335.0,250.0,85.0,70.0,175.0,60.0,60.0,30.0,20.0,0.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507040,"Rideau Lakes, Township (TP)",10883.0,6781.0,15.3,711.81,10885.0,1320.0,6185.0,475.0,435.0,3375.0,49.2,55.6,4695.0,4660.0,35.0,4695.0,4615.0,85.0,4575.0,4000.0,580.0,530.0,3660.0,1035.0,1010.0,675.0,515.0,420.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507042,"Athens, Township (TP)",3042.0,1325.0,23.5,129.54,3040.0,435.0,1875.0,160.0,140.0,735.0,46.3,50.8,1215.0,1215.0,0.0,1215.0,1200.0,15.0,1190.0,1080.0,115.0,105.0,1095.0,225.0,375.0,285.0,115.0,95.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507052,"Merrickville-Wolford, Village (VL)",3135.0,1392.0,14.6,214.33,3135.0,385.0,1805.0,160.0,130.0,945.0,49.2,54.4,1290.0,1275.0,15.0,1290.0,1270.0,20.0,1220.0,1015.0,210.0,180.0,1060.0,230.0,300.0,200.0,150.0,175.0
3510, Ottawa,3507,"Leeds and Grenville, United counties (UC)",3507065,"North Grenville, Municipality (MU)",17964.0,7244.0,51.0,351.9,17965.0,2935.0,11200.0,1025.0,755.0,3830.0,43.8,46.4,7040.0,6985.0,55.0,7040.0,6910.0,130.0,6950.0,6005.0,945.0,880.0,6005.0,1690.0,1075.0,1755.0,1070.0,425.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509001,"Montague, Township (TP)",3914.0,1551.0,14.1,278.47,3910.0,635.0,2520.0,210.0,170.0,765.0,42.7,44.4,1500.0,1485.0,20.0,1500.0,1475.0,35.0,1460.0,1280.0,175.0,160.0,1495.0,370.0,420.0,275.0,245.0,190.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509004,"Smiths Falls, Town (T)",9254.0,4523.0,958.1,9.66,9250.0,1445.0,5380.0,405.0,435.0,2430.0,45.4,47.2,4310.0,4270.0,40.0,4310.0,4085.0,230.0,4285.0,3185.0,1105.0,1040.0,3165.0,1565.0,580.0,355.0,310.0,355.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509010,"Drummond/North Elmsley, Township (TP)",8183.0,3708.0,22.4,365.67,8180.0,1175.0,4970.0,425.0,355.0,2040.0,45.9,50.8,3290.0,3275.0,10.0,3290.0,3240.0,50.0,3180.0,2820.0,360.0,310.0,3070.0,1020.0,1010.0,520.0,225.0,290.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509015,"Tay Valley, Township (TP)",5925.0,3750.0,11.2,528.67,5925.0,680.0,3345.0,255.0,205.0,1900.0,50.7,57.2,2420.0,2400.0,20.0,2420.0,2375.0,45.0,2320.0,2015.0,305.0,275.0,1845.0,555.0,670.0,265.0,105.0,250.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509021,"Perth, Town (T)",6469.0,3395.0,529.8,12.21,6470.0,690.0,3255.0,235.0,245.0,2520.0,52.7,58.4,3270.0,3260.0,10.0,3270.0,3185.0,85.0,3270.0,2525.0,750.0,710.0,1800.0,920.0,350.0,190.0,155.0,180.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509024,"Beckwith, Township (TP)",9021.0,3523.0,37.7,239.31,9020.0,1555.0,5995.0,530.0,395.0,1470.0,41.8,44.4,3370.0,3350.0,15.0,3370.0,3320.0,50.0,3320.0,2935.0,385.0,345.0,3250.0,725.0,965.0,1005.0,395.0,155.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509028,"Carleton Place, Town (T)",12517.0,5341.0,1259.4,9.94,12515.0,2240.0,7700.0,620.0,530.0,2575.0,42.1,41.6,5210.0,5185.0,30.0,5210.0,5100.0,105.0,5190.0,4060.0,1130.0,1060.0,4270.0,1525.0,1040.0,1140.0,405.0,160.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509030,"Mississippi Mills, Town (T)",14740.0,6241.0,28.8,511.25,14740.0,2180.0,8645.0,725.0,585.0,3915.0,46.3,50.0,6045.0,6005.0,35.0,6045.0,5955.0,95.0,5870.0,5035.0,830.0,790.0,4605.0,1300.0,1245.0,1165.0,595.0,305.0
3510, Ottawa,3509,"Lanark, County (CTY)",3509039,"Lanark Highlands, Township (TP)",5737.0,3409.0,5.6,1031.52,5740.0,795.0,3485.0,210.0,200.0,1455.0,46.9,52.0,2490.0,2480.0,15.0,2490.0,2450.0,45.0,2425.0,2060.0,370.0,345.0,1740.0,200.0,495.0,475.0,280.0,295.0
3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510005,"Frontenac Islands, Township (TP)",1930.0,1212.0,10.9,176.82,1930.0,170.0,1055.0,90.0,70.0,705.0,53.4,59.6,900.0,900.0,0.0,900.0,900.0,0.0,875.0,770.0,105.0,105.0,540.0,145.0,90.0,115.0,60.0,125.0
3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510010,"Kingston, City (CY)",132485.0,63095.0,293.4,451.58,132485.0,18730.0,85855.0,7180.0,10045.0,27900.0,42.7,41.2,57835.0,57290.0,550.0,57835.0,55675.0,2155.0,57435.0,43060.0,14380.0,12860.0,43130.0,18470.0,18150.0,4220.0,1085.0,1205.0
3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510020,"South Frontenac, Township (TP)",20188.0,9503.0,21.3,948.05,20190.0,3115.0,12730.0,1090.0,865.0,4340.0,44.6,48.8,7935.0,7905.0,25.0,7935.0,7730.0,205.0,7765.0,6875.0,890.0,810.0,7540.0,1035.0,2990.0,2665.0,545.0,310.0
3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510035,"Central Frontenac, Township (TP)",4892.0,3618.0,4.9,991.41,4890.0,580.0,2830.0,215.0,200.0,1480.0,49.4,55.6,2175.0,2160.0,20.0,2175.0,2135.0,45.0,2145.0,1820.0,320.0,305.0,1345.0,310.0,210.0,260.0,275.0,295.0
3515, Kingston-Pembroke,3510,"Frontenac, County (CTY)",3510045,"North Frontenac, Township (TP)",2285.0,2798.0,2.0,1157.97,2285.0,175.0,1210.0,75.0,45.0,900.0,55.7,61.6,1135.0,1130.0,0.0,1135.0,1105.0,20.0,1125.0,995.0,130.0,125.0,560.0,200.0,130.0,65.0,35.0,130.0
3515, Kingston-Pembroke,3511,"Lennox and Addington, County (CTY)",3511005,"Loyalist, Township (TP)",17943.0,7145.0,52.4,342.72,17945.0,2800.0,11125.0,865.0,770.0,4020.0,44.1,45.2,6830.0,6815.0,15.0,6830.0,6640.0,190.0,6765.0,5660.0,1105.0,1050.0,6040.0,1265.0,3130.0,1260.0,215.0,165.0
3515, Kingston-Pembroke,3511,"Lennox and Addington, County (CTY)",3511015,"Greater Napanee, Town (T)",16879.0,7461.0,36.5,462.3,16880.0,2290.0,9825.0,835.0,675.0,4770.0,47.4,50.4,6865.0,6820.0,55.0,6865.0,6660.0,210.0,6745.0,5435.0,1310.0,1185.0,5610.0,2065.0,1350.0,1495.0,465.0,225.0
3515, Kingston-Pembroke,3511,"Lennox and Addington, County (CTY)",3511030,"Stone Mills, Township (TP)",7826.0,3436.0,11.3,693.71,7825.0,1245.0,5030.0,405.0,365.0,1550.0,43.6,46.8,3070.0,3050.0,20.0,3070.0,3005.0,70.0,2910.0,2600.0,310.0,295.0,2975.0,450.0,915.0,1040.0,385.0,180.0
3515, Kingston-Pembroke,3511,"Lennox and Addington, County (CTY)",3511035,"Addington Highlands, Township (TP)",2534.0,2052.0,2.0,1293.99,2535.0,295.0,1455.0,105.0,105.0,790.0,49.9,55.6,1120.0,1115.0,0.0,1120.0,1050.0,70.0,1100.0,890.0,210.0,190.0,675.0,280.0,85.0,130.0,60.0,120.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512001,"Tyendinaga, Township (TP)",4538.0,1730.0,14.5,312.42,4540.0,830.0,2960.0,235.0,220.0,740.0,41.2,42.4,1650.0,1630.0,20.0,1650.0,1595.0,55.0,1550.0,1380.0,170.0,160.0,1850.0,255.0,920.0,410.0,155.0,110.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512002,"Deseronto, Town (T)",1747.0,803.0,693.5,2.52,1750.0,330.0,1095.0,90.0,80.0,325.0,41.8,44.0,720.0,710.0,0.0,720.0,705.0,15.0,715.0,570.0,145.0,140.0,545.0,155.0,220.0,120.0,30.0,20.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512004,"Tyendinaga Mohawk Territory, Indian reserve (IRI)",2535.0,1170.0,35.2,72.02,2535.0,385.0,1590.0,135.0,140.0,565.0,44.6,48.0,1035.0,1025.0,10.0,1035.0,1000.0,35.0,0.0,0.0,0.0,0.0,735.0,295.0,205.0,145.0,55.0,35.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512005,"Belleville, City (CY)",55071.0,24582.0,222.8,247.15,55070.0,8225.0,33820.0,2810.0,3120.0,13030.0,44.5,45.2,23535.0,23275.0,260.0,23535.0,22490.0,1045.0,23425.0,18195.0,5235.0,4960.0,18805.0,9285.0,6070.0,2100.0,585.0,775.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512015,"Quinte West, City (CY)",46560.0,19888.0,94.0,495.45,46560.0,7355.0,28860.0,2320.0,2195.0,10345.0,44.0,45.6,19055.0,18960.0,95.0,19055.0,18505.0,555.0,18875.0,16055.0,2820.0,2685.0,16820.0,6695.0,6675.0,1980.0,565.0,900.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512020,"Stirling-Rawdon, Township (TP)",5015.0,2074.0,17.8,282.48,5015.0,850.0,3035.0,255.0,220.0,1130.0,44.1,46.4,1975.0,1955.0,15.0,1975.0,1870.0,100.0,1870.0,1575.0,295.0,260.0,1825.0,440.0,675.0,445.0,135.0,135.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512026,"Centre Hastings, Municipality (MU)",4801.0,2180.0,21.5,222.79,4800.0,740.0,2830.0,250.0,205.0,1230.0,45.6,49.2,1940.0,1920.0,20.0,1940.0,1885.0,55.0,1875.0,1520.0,355.0,315.0,1600.0,340.0,535.0,465.0,135.0,125.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512030,"Tweed, Municipality (MU)",6067.0,3042.0,6.6,918.61,6065.0,770.0,3550.0,275.0,235.0,1750.0,48.5,53.6,2590.0,2590.0,0.0,2590.0,2535.0,55.0,2500.0,2085.0,415.0,375.0,1980.0,505.0,450.0,590.0,220.0,215.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512036,"Madoc, Township (TP)",2233.0,934.0,8.1,274.58,2235.0,345.0,1375.0,110.0,95.0,510.0,45.0,49.6,870.0,860.0,10.0,870.0,840.0,30.0,815.0,685.0,130.0,120.0,765.0,220.0,165.0,160.0,130.0,95.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512046,"Marmora and Lake, Municipality (MU)",4267.0,2578.0,7.9,538.24,4270.0,530.0,2475.0,195.0,155.0,1260.0,49.1,56.0,1885.0,1870.0,20.0,1885.0,1800.0,85.0,1865.0,1500.0,360.0,345.0,1265.0,340.0,245.0,200.0,230.0,255.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512048,"Tudor and Cashel, Township (TP)",740.0,758.0,1.7,433.31,740.0,65.0,460.0,25.0,25.0,210.0,51.1,57.2,350.0,350.0,0.0,350.0,350.0,0.0,355.0,285.0,70.0,65.0,195.0,45.0,25.0,40.0,40.0,55.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512051,"Limerick, Township (TP)",436.0,533.0,2.2,201.04,435.0,45.0,230.0,10.0,15.0,165.0,53.0,60.0,195.0,195.0,0.0,195.0,195.0,0.0,200.0,170.0,25.0,25.0,70.0,15.0,20.0,20.0,0.0,10.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512054,"Wollaston, Township (TP)",721.0,757.0,3.3,215.87,720.0,70.0,400.0,30.0,20.0,245.0,52.1,58.0,360.0,360.0,0.0,360.0,360.0,0.0,360.0,280.0,80.0,80.0,180.0,45.0,15.0,60.0,25.0,35.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512058,"Faraday, Township (TP)",1612.0,1290.0,7.4,217.44,1615.0,165.0,945.0,70.0,55.0,505.0,50.7,57.2,755.0,750.0,0.0,755.0,745.0,15.0,740.0,625.0,115.0,110.0,415.0,185.0,135.0,40.0,15.0,35.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512061,"Bancroft, Town (T)",4065.0,2007.0,17.9,227.54,4065.0,495.0,2190.0,175.0,155.0,1385.0,50.4,56.0,1800.0,1770.0,30.0,1800.0,1725.0,80.0,1795.0,1410.0,385.0,360.0,1180.0,690.0,270.0,110.0,20.0,90.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512065,"Carlow/Mayo, Township (TP)",953.0,663.0,2.5,385.32,950.0,130.0,535.0,40.0,30.0,285.0,48.5,55.2,415.0,415.0,0.0,415.0,410.0,0.0,400.0,350.0,45.0,40.0,305.0,45.0,90.0,100.0,30.0,40.0
3515, Kingston-Pembroke,3512,"Hastings, County (CTY)",3512076,"Hastings Highlands, Municipality (MU)",4385.0,3529.0,4.5,966.58,4385.0,485.0,2455.0,170.0,135.0,1450.0,51.3,57.6,2005.0,1980.0,25.0,2005.0,1945.0,60.0,1960.0,1670.0,295.0,270.0,1305.0,360.0,470.0,250.0,80.0,140.0
3515, Kingston-Pembroke,3513,"Prince Edward, Census division (CDR)",3513020,"Prince Edward County, City (CY)",25704.0,13557.0,24.4,1052.61,25700.0,2980.0,14115.0,940.0,855.0,8605.0,50.7,56.8,11335.0,11275.0,55.0,11335.0,11075.0,255.0,11015.0,9165.0,1845.0,1725.0,7440.0,2490.0,2685.0,1370.0,410.0,480.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514004,"Brighton, Municipality (MU)",12108.0,5392.0,54.2,223.24,12110.0,1365.0,6740.0,485.0,490.0,4005.0,50.2,56.0,5015.0,4985.0,25.0,5015.0,4915.0,100.0,4940.0,4200.0,735.0,660.0,3445.0,925.0,1165.0,810.0,175.0,375.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514014,"Cramahe, Township (TP)",6509.0,2772.0,32.2,202.22,6510.0,925.0,4090.0,340.0,285.0,1490.0,45.2,49.2,2600.0,2585.0,20.0,2600.0,2515.0,90.0,2550.0,2135.0,420.0,390.0,2555.0,620.0,885.0,490.0,185.0,375.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514019,"Hamilton, Township (TP)",11059.0,4685.0,43.2,256.03,11060.0,1540.0,7010.0,605.0,520.0,2510.0,45.4,49.6,4280.0,4260.0,25.0,4280.0,4180.0,100.0,4180.0,3675.0,515.0,470.0,4315.0,1285.0,1450.0,675.0,480.0,425.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514020,"Port Hope, Municipality (MU)",17294.0,7607.0,62.0,278.8,17295.0,2215.0,10240.0,800.0,740.0,4840.0,47.4,50.8,7320.0,7270.0,50.0,7320.0,7035.0,280.0,7210.0,5705.0,1505.0,1380.0,5795.0,2065.0,1480.0,1070.0,490.0,685.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514021,"Cobourg, Town (T)",20519.0,9520.0,915.7,22.41,20520.0,2535.0,10995.0,965.0,840.0,6985.0,49.9,54.8,9135.0,9085.0,50.0,9135.0,8815.0,320.0,9120.0,7045.0,2075.0,1885.0,6185.0,3365.0,1265.0,655.0,455.0,455.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514024,"Alnwick/Haldimand, Township (TP)",7473.0,3323.0,18.8,398.25,7470.0,1010.0,4725.0,415.0,355.0,1735.0,45.7,49.6,2825.0,2800.0,25.0,2825.0,2740.0,85.0,2730.0,2325.0,405.0,380.0,2745.0,625.0,945.0,465.0,220.0,485.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514027,"Alderville First Nation, Indian reserve (IRI)",542.0,282.0,43.0,12.59,540.0,75.0,330.0,30.0,25.0,135.0,45.5,49.2,250.0,250.0,10.0,250.0,240.0,15.0,0.0,0.0,0.0,0.0,155.0,70.0,40.0,25.0,0.0,20.0
3520, Muskoka-Kawarthas,3514,"Northumberland, County (CTY)",3514045,"Trent Hills, Municipality (MU)",13861.0,7057.0,27.0,513.85,13860.0,1725.0,7825.0,635.0,525.0,4315.0,49.2,55.2,5900.0,5850.0,55.0,5900.0,5730.0,170.0,5650.0,4590.0,1060.0,970.0,4370.0,1405.0,1090.0,755.0,590.0,530.0
3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515003,"Asphodel-Norwood, Township (TP)",4658.0,1985.0,28.8,161.62,4660.0,760.0,2775.0,235.0,190.0,1120.0,44.5,46.0,1855.0,1855.0,0.0,1855.0,1815.0,35.0,1785.0,1525.0,255.0,240.0,1655.0,390.0,480.0,485.0,110.0,180.0
3520, Muskoka-Kawarthas,3515,"Peterborough, County (CTY)",3515005,"Otonabee-South Monaghan, Township (TP)",7087.0,3050.0,20.5,346.15,7090.0,1110.0,4280.0,320.0,290.0,1700.0,45.3,49.2,2735.0,2710.0,20.0,2735.0,2685.0,45.0,2565.0,2185.0,380.0,350.0,2480.0,655.0,1035.0,355.0,140.0,300.0
