X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-80.257399654,43.5633402280001,369,172388489,2358,Long-Term Care Home,For-Profit,LaPointe-Fisher Nursing Home, , , ,271 Metcalfe Street, , ,Guelph,N1E4Y8,20220428140056,20220426155104
-82.899976066,42.310874579,388,172388197,2263,Long-Term Care Home,For-Profit,Banwell Gardens Care Centre, , , ,3000 Banwell Road, , ,Windsor,N8N0B3,20220428140114,20220426155025
-79.43623672,43.8692572200001,392,172388514,2619,Long-Term Care Home,Non-Profit,Mariann Home, , , ,9915 Yonge Street, , ,Richmond Hill,L4C1V1,20220428140039,20220426155107
-79.863939702,43.256417893,413,172388314,2739,Long-Term Care Home,For-Profit,Dundurn Place Care Centre, , , ,39 Mary Street, , ,Hamilton,L8R3L8,20220428135946,20220426155041
-80.92748506,46.484293183,417,172388383,2829,Long-Term Care Home,For-Profit,Finlandia Hoivakoti Nursing Home, , , ,233 4th Avenue, , ,Greater Sudbury,P3B4C3,20220428135931,20220426155050
-75.66502586,44.6022469150001,427,172388672,M576,Long-Term Care Home,Non-Profit,St. Lawrence Lodge, , , ,1803 County Road,"Postal Office Bag 1130, 2 East, Postal", ,Brockville,K6V5T1,20220428140003,20220426155128
-79.4284991979999,43.648112182,456,172388378,2723,Long-Term Care Home,For-Profit,Fairview Nursing Home, , , ,14 Cross Street, , ,Toronto,M6J1S8,20220428140114,20220426155049
-79.453905193,44.6031362460001,460,172388656,2971,Long-Term Care Home,Non-Profit,Spencer House, , , ,835 West Ridge Boulevard, , ,Orillia,L3V8B3,20220428140039,20220426155126
-79.037508035,44.3459002220001,488,172388220,2613,Long-Term Care Home,For-Profit,Bon Air Long Term Care Residence, , , ,131 Laidlaw Street South, , ,Cannington,L0E1E0,20220428135930,20220426155028
-81.936485331,45.9838874500001,497,172388503,M553,Long-Term Care Home,Non-Profit,Manitoulin Centennial Manor Home for the Aged, , , ,70 Robinson Street,Postal Office Bag 460, ,Little Current,P0P1K0,20220428140002,20220426155106
-78.923205374,42.9104403740001,519,172388300,2587,Long-Term Care Home,For-Profit,Crescent Park Lodge, , , ,4 Hagey Avenue, , ,Fort Erie,L2A5M5,20220428135946,20220426155039
-79.2585422989999,43.1300160980001,523,172388362,2321,Long-Term Care Home,For-Profit,Extendicare St. Catharines, , , ,283 Pelham Road, , ,St. Catharines,L2S1X7,20220428135931,20220426155047
-81.62413093,42.9635514570001,531,172388659,2946,Long-Term Care Home,For-Profit,Sprucedale Care Centre, , , ,96 Kittridge Avenue East, , ,Strathroy,N7G2A8,20220428140003,20220426155126
-79.2031279349999,43.74685451,545,172388340,2164,Long-Term Care Home,For-Profit,Extendicare Guildwood, , , ,60 Guildwood Parkway, , ,Toronto,M1E1N9,20220428140056,20220426155044
-79.471311343,43.9977891410001,552,172388263,2630,Long-Term Care Home,For-Profit,Chartwell Aurora Long Term Care Residence, , , ,32 Mill Street, , ,Aurora,L4G2R9,20220428140021,20220426155034
-94.4645887899999,49.780016543,575,172388587,M563,Long-Term Care Home,Non-Profit,Pinecrest (Kenora), , , ,1220 Valley Drive, , ,Kenora,P9N2W7,20220428140056,20220426155117
-79.4444572149999,43.781831605,595,172388284,922,Long-Term Care Home,For-Profit,Cheltenham Care Community, , , ,5935 Bathurst Street, , ,Toronto,M2R1Y8,20220428140114,20220426155037
-83.039319209,42.3136213720001,599,172388608,2760,Long-Term Care Home,For-Profit,Regency Park Long Term Care Home, , , ,567 Victoria Avenue, , ,Windsor,N9A4N1,20220428140039,20220426155119
-79.521345937,43.756080997,621,172388434,2586,Long-Term Care Home,For-Profit,Hawthorne Place Care Centre, , , ,2045 Finch Avenue West, , ,Toronto,M3N1M9,20220428135946,20220426155057
-77.744410091,44.039644927,624,172388512,2717,Long-Term Care Home,For-Profit,Maplewood, , , ,12 Maplewood Avenue,Postal Office Box 249, ,Brighton,K0K1H0,20220428135931,20220426155107
-76.0206649,44.8875858490001,637,172388225,2684,Long-Term Care Home,For-Profit,Broadview Nursing Centre, , , ,210 Brockville Street, , ,Smiths Falls,K7A3Z4,20220428140056,20220426155029
-78.949843686,44.111427785,640,172388596,2629,Long-Term Care Home,For-Profit,Port Perry Place, , , ,15941 Simcoe Street, , ,Port Perry,L9L1N5,20220428140021,20220426155118
-79.4306973979999,43.640307281,662,172388328,2515,Long-Term Care Home,For-Profit,Elm Grove Living Centre, , , ,35 Elm Grove Avenue, , ,Toronto,M6K2J2,20220428135916,20220426155043
-76.970516857,44.241279096,683,172388704,M625,Long-Term Care Home,Non-Profit,The John M. Parrott Centre, , , ,309 Bridge Street West, , ,Napanee,K7R2G4,20220428135931,20220426155132
-77.9678501929999,44.3792359760001,703,172388595,2761,Long-Term Care Home,For-Profit,Pleasant Meadow Manor, , , ,99 Alma Street,Postal Office Box 426, ,Norwood,K0L2V0,20220428140056,20220426155118
-78.503218627,45.051369267,724,172388341,2644,Long-Term Care Home,For-Profit,Extendicare Haliburton, , , ,167 Park Street,Postal Office Box 780, ,Haliburton,K0M1S0,20220428140114,20220426155045
-75.7298003459999,45.3885381480001,728,172388627,2933,Long-Term Care Home,Non-Profit,Royal Ottawa Place, , , ,1145 Carling Avenue, , ,Ottawa,K1Z7K4,20220428140039,20220426155122
-76.6604858549999,44.2261182070001,750,172388437,2728,Long-Term Care Home,For-Profit,Helen Henderson Nursing Home, , , ,343 Amherst Drive, , ,Amherstview,K7N1X3,20220428135946,20220426155057
-79.431261385,44.6030154470001,753,172388565,2593,Long-Term Care Home,For-Profit,Oak Terrace, , , ,291 Mississaga Street West, , ,Orillia,L3V3B9,20220428135931,20220426155114
-79.2512235839999,42.980722772,793,172388545,2607,Long-Term Care Home,Non-Profit,"Niagara Health System, Welland Hospital Site, Extended Care Unit", , , ,65 Third Street, , ,Welland,L3B4W6,20220428140115,20220426155111
-79.298402661,43.6960515970001,818,172388744,M586,Long-Term Care Home,Non-Profit,True Davidson Acres, , , ,200 Dawes Road, , ,Toronto,M4C5M8,20220428135931,20220426155137
-79.62977754,47.4400949010001,853,172388366,2615,Long-Term Care Home,For-Profit,Extendicare Tri-Town, , , ,143 Bruce Street,Postal Office Box 999, ,Temiskaming Shores,P0J1K0,20220428140056,20220426155048
-79.698481151,44.3911959980001,862,172388762,2914,Long-Term Care Home,Non-Profit,Victoria Village Manor, , , ,78 Ross Street, , ,Barrie,L4N1G3,20220428140003,20220426155140
-76.272017884,44.9039001420001,892,172388486,M548,Long-Term Care Home,Non-Profit,Lanark Lodge, , , ,115 Christie Lake Road,"R. R. 4, Lot 27, Concession 2", ,Perth,K7H3C6,20220428135946,20220426155104
-80.474466013,43.456486999,895,172388579,2990,Long-Term Care Home,Non-Profit,peopleCare A.R. Goudie Kitchener, , , ,369 Frederick Street, , ,Kitchener,N2H2P1,20220428135931,20220426155116
-81.0216814999999,49.070850373,960,172388768,2815,Long-Term Care Home,Non-Profit,Villa Minto, , , ,241 Eighth Street,Postal Office Box 280, ,Cochrane,P0L1C0,20220428135916,20220426155141
-81.4251941639999,42.92340076,965,172388527,1030,Long-Term Care Home,For-Profit,Middlesex Terrace, , , ,2094 Gideon Drive,R.R. 1, ,Delaware,N0L1E0,20220428140056,20220426155109
-79.446318159,46.3193413320001,990,172388252,M509,Long-Term Care Home,Non-Profit,Cassellholme, , , ,400 Olive Street, , ,North Bay,P1B6J4,20220428135946,20220426155032
-79.609785449,43.57327916,993,172388290,2124,Long-Term Care Home,For-Profit,Cooksville Care Centre, , , ,55 The Queensway West, , ,Mississauga,L5B1B5,20220428135930,20220426155038
-82.92388227,46.187442628,1001,172388557,2795,Long-Term Care Home,Non-Profit,North Shore Health Network - Eldcap Unit, , , ,525 Causley Street,Postal Office Box 970, ,Blind River,P0R1B0,20220428140002,20220426155113
-81.2555830859999,43.73808031,1009,172388455,M601,Long-Term Care Home,Non-Profit,Huronlea Home for the Aged, , , ,820 Turnberry Street, , ,Brussels,N0G1H0,20220428140021,20220426155100
-79.716748975,43.4802518390001,1030,172388597,M620,Long-Term Care Home,Non-Profit,Post Inn Village, , , ,203 Georgian Drive, , ,Oakville,L6H7H9,20220428135916,20220426155118
-78.195093831,43.9743198960001,1056,172388412,M531,Long-Term Care Home,Non-Profit,Golden Plough Lodge, , , ,983 Burnham Street, , ,Cobourg,K9A5J6,20220428140039,20220426155054
-81.5300717169999,43.145370294,1092,172388296,2622,Long-Term Care Home,Non-Profit,Craigholme, , , ,221 Main Street,R.R. 1, ,Ailsa Craig,N0M1A0,20220428140002,20220426155038
-80.140808458,42.888357114,1114,172388399,2961,Long-Term Care Home,Non-Profit,Gardenview Long Term Care Home, , , ,72 Town Centre Drive, , ,Townsend,N0A1S0,20220428135946,20220426155052
-79.280549261,43.7626315090001,1117,172388467,2654,Long-Term Care Home,For-Profit,Kennedy Lodge, , , ,1400 Kennedy Road, , ,Toronto,M1P4V6,20220428135931,20220426155101
-82.920027273,42.3181274790001,1127,172388719,3037,Long-Term Care Home,For-Profit,The Village of Aspen Lake, , , ,9855 McHugh Street, , ,Tecumseh,N8P0A6,20220428140003,20220426155134
-79.919758958,44.767957052,1142,172388403,M527,Long-Term Care Home,Non-Profit,Georgian Manor Home for the Aged, , , ,101 Thompsons Road, , ,Penetanguishene,L9M0V3,20220428140056,20220426155053
-79.331322168,43.6628381890001,1144,172388702,2582,Long-Term Care Home,For-Profit,The Heritage Nursing Home, , , ,1195 Queen Street East, , ,Toronto,M4M1L6,20220428140022,20220426155132
-79.5741704549999,43.766190796,1164,172388766,2947,Long-Term Care Home,Non-Profit,Villa Leonardo Gambin, , , ,40 Friuli Court, , ,Vaughan,L4L9T3,20220428140003,20220426155140
-81.099654491,44.3105799160001,1223,172388323,2725,Long-Term Care Home,For-Profit,Elgin Abbey Nursing Home, , , ,380 First Avenue North,Postal Office Box 7, ,Chesley,N0G1L0,20220428140002,20220426155042
-79.812033092,43.331383208,1228,172388776,1023,Long-Term Care Home,For-Profit,Wellington Park Care Centre, , , ,802 Hager Avenue, , ,Burlington,L7S1X2,20220428140057,20220426155142
-81.15463601,43.2607544320001,1233,172388790,2802,Long-Term Care Home,For-Profit,Wildwood Care Centre, , , ,100 Ann Street,Postal Office Box 2200, ,Saint Marys,N4X1A1,20220428135946,20220426155143
-80.357425776,43.4540998040001,1235,172388232,2651,Long-Term Care Home,For-Profit,Cambridge Country Manor, , , ,3680 Speedsville Road,R.R. 1, ,Cambridge,N3H4R6,20220428140021,20220426155030
-80.9683347069999,42.770805255,1242,172388695,M583,Long-Term Care Home,Non-Profit,Terrace Lodge, , , ,475 Talbot Street East,49462 Talbot Line, ,Aylmer,N5H3A5,20220428135916,20220426155131
-79.555470699,43.191201495,1247,172388470,1866,Long-Term Care Home,For-Profit,Kilean Lodge, , , ,83 Main Street East, , ,Grimsby,L3M1N6,20220428140056,20220426155102
-79.336000182,43.8057619140001,1254,172388694,2649,Long-Term Care Home,For-Profit,Tendercare Living Centre, , , ,1020 McNicoll Avenue, , ,Toronto,M1W2J6,20220428140115,20220426155131
-79.077127602,43.8284614300001,1261,172388200,2895,Long-Term Care Home,For-Profit,Bay Ridges, , , ,900 Sandy Beach Road, , ,Pickering,L1W1Z4,20220428135916,20220426155026
-79.304962465,43.7205513010001,1264,172388387,2836,Long-Term Care Home,For-Profit,Fountain View Care Community, , , ,1800 O'Connor Drive, , ,Toronto,M4A1W7,20220428140114,20220426155051
-79.298216885,45.05168703,1268,172388713,M564,Long-Term Care Home,Non-Profit,The Pines, , , ,98 Pine Street, , ,Bracebridge,P1L1N5,20220428140039,20220426155133
-82.198849058,42.4070437300001,1290,172388524,2685,Long-Term Care Home,For-Profit,Meadow Park Nursing Home (Chatham), , , ,110 Sandys Street, , ,Chatham,N7L4X3,20220428135946,20220426155109
-78.533633889,44.5283625770001,1293,172388590,2731,Long-Term Care Home,For-Profit,Pinecrest Nursing Home (Bobcaygeon), , , ,3418 County Road 36,R.R. 2, ,Kawartha Lakes,K0M1A0,20220428135931,20220426155117
-77.557732636,44.102903246,1325,172388738,2337,Long-Term Care Home,For-Profit,Trent Valley Lodge, , , ,195 Bay Street, , ,Quinte West,K8V1H9,20220428140057,20220426155137
-79.771615916,43.7410441820001,1330,172388724,2859,Long-Term Care Home,For-Profit,The Village of Sandalwood Park, , , ,425 Great Lakes Drive, , ,Brampton,L6R2W8,20220428135946,20220426155135
-79.140138919,43.798875622,1332,172388189,956,Long-Term Care Home,For-Profit,Altamont Care Community, , , ,92 Island Road, , ,Toronto,M1C2P5,20220428140021,20220426155024
-79.550798766,43.971994033,1349,172388471,2113,Long-Term Care Home,For-Profit,King City Lodge Nursing Home, , , ,146 Fog Road, , ,King City,L7B1A3,20220428140114,20220426155102
-81.01756875,44.159774794,1366,172388427,2770,Long-Term Care Home,For-Profit,Hanover Care Centre, , , ,700 19th Avenue, , ,Hanover,N4N3S6,20220428140039,20220426155056
-81.6810845649999,43.157048988,1386,172388270,2632,Long-Term Care Home,For-Profit,Chartwell Parkhill Long Term Care Residence, , , ,250 Tain Street,Postal Office Box 129, ,Parkhill,N0M2K0,20220428135946,20220426155035
-77.561494137,44.106390747,1390,172388301,2787,Long-Term Care Home,For-Profit,Crown Ridge Place, , , ,106 Crown Street, , ,Quinte West,K8V6R3,20220428135930,20220426155039
-74.6137033919999,45.60022653,1398,172388610,M567,Long-Term Care Home,Non-Profit,Residence Prescott et Russell, , , ,1020 Cartier Boulevard, , ,Hawkesbury,K6A1W7,20220428140003,20220426155120
-81.8856007099999,42.9521588420001,1421,172388773,2652,Long-Term Care Home,For-Profit,Watford Quality Care Centre, , , ,344 Victoria Street, , ,Watford,N0M2S0,20220428135931,20220426155141
-75.727165543,45.3655656440001,1465,172388767,2818,Long-Term Care Home,Non-Profit,Villa Marconi, , , ,1026 Baseline Road, , ,Ottawa,K2C0A6,20220428140040,20220426155141
-79.4764998699999,43.1519210920001,1470,172388183,2983,Long-Term Care Home,Non-Profit,"Albright Gardens Homes, Incorporated", , , ,5050 Hillside Drive, , ,Lincoln,L0R1B2,20220428140002,20220426155023
-79.92058152,46.3720255170001,1494,172388194,M502,Long-Term Care Home,Non-Profit,Au Chateau, , , ,100 Michaud Street, , ,West Nipissing,P2B2Z4,20220428140114,20220426155025
-79.7406510179999,43.879329108,1498,172388472,901,Long-Term Care Home,For-Profit,King Nursing Home, , , ,49 Sterne Street, , ,Bolton,L7E1B9,20220428140039,20220426155102
-75.753033653,45.3762177450001,1509,172388445,3029,Long-Term Care Home,Non-Profit,Hillel Lodge, , , ,10 Nadolny Sachs Private, , ,Ottawa,K2A4G7,20220428140056,20220426155058
-77.8930408529999,44.198676848,1511,172388771,2803,Long-Term Care Home,For-Profit,Warkworth Place, , , ,97 Mill Street,Postal Office Box 68, ,Warkworth,K0K3K0,20220428140022,20220426155141
-77.31915199,44.4711069210001,1534,172388534,2977,Long-Term Care Home,For-Profit,Moira Place Long-Term Care Home, , , ,415 River Street West,Postal Office Box 200, ,Tweed,K0K3J0,20220428135916,20220426155110
-79.735868897,43.6553819690001,1563,172388337,2847,Long-Term Care Home,For-Profit,Extendicare Brampton, , , ,7891 McLaughlin Road, , ,Brampton,L6Y5H8,20220428140039,20220426155044
-81.7235407429999,45.803034832,1567,172388789,1856,Long-Term Care Home,Non-Profit,Wikwemikong Nursing Home, , , ,2281 Wikwemikong Way,Postal Office Box 114, ,Wikwemikong,P0P2J0,20220428140040,20220426155143
-81.6118906249999,49.2746247690001,1578,172388649,2763,Long-Term Care Home,Non-Profit,Smooth Rock Falls Hospital, , , ,107 Kelly Road,Postal Office Box 219, ,Smooth Rock Falls,P0L2B0,20220428140021,20220426155125
-79.688983191,43.757593689,1600,172388433,2887,Long-Term Care Home,For-Profit,Hawthorn Woods Care Community, , , ,9257 Goreway Drive, , ,Brampton,L6P0N5,20220428135916,20220426155057
-77.8489987459999,44.285287065,1626,172388229,2686,Long-Term Care Home,For-Profit,Burnbrae Gardens Long Term Care Residence, , , ,320 6th Line East, , ,Campbellford,K0L1L0,20220428140039,20220426155029
-79.8569388989999,43.2517531920001,1741,172388202,2581,Long-Term Care Home,For-Profit,BayWoods Place, , , ,330 Main Street East, , ,Hamilton,L8N3T9,20220428140056,20220426155026
-80.7014940779999,43.380497775,1744,172388551,3004,Long-Term Care Home,Non-Profit,Nithview Home, , , ,200 Boullee Street, , ,New Hamburg,N3A2K4,20220428140021,20220426155112
-79.111895937,44.1040785760001,1763,172388606,2635,Long-Term Care Home,For-Profit,ReachView Village, , , ,130 Reach Street, , ,Uxbridge,L9P1L3,20220428135931,20220426155119
-80.445138002,43.4405282980001,1787,172388687,M578,Long-Term Care Home,Non-Profit,Sunnyside Home, , , ,247 Franklin Street North, , ,Kitchener,N2A1Y5,20220428135931,20220426155130
-79.5729663509999,43.7250342890001,1808,172388474,M545,Long-Term Care Home,Non-Profit,Kipling Acres, , , ,2233 Kipling Avenue, , ,Toronto,M9W4L3,20220428135916,20220426155102
-79.2309301559999,43.8858579330001,1837,172388280,2888,Long-Term Care Home,For-Profit,Chartwell Woodhaven Long Term Care Residence, , , ,380 Church Street, , ,Markham,L6B1E1,20220428140039,20220426155036
-78.715145418,46.3105750670001,1866,172388186,3052,Long-Term Care Home,Non-Profit,Algonquin Nursing Home, , , ,207 Turcotte Park Road,Postal Office Box 270, ,Mattawa,P0H1V0,20220428135930,20220426155024
-76.966986956,44.240150396,1875,172388493,7089,Long-Term Care Home,Non-Profit,Lennox and Addington County General Hospital, , , ,8 Richmond Park Drive, , ,Napanee,K7R2Z4,20220428140002,20220426155105
-79.4191780949999,43.6488002830001,1893,172388519,2211,Long-Term Care Home,For-Profit,Maynard Nursing Home, , , ,28 Halton Street, , ,Toronto,M6J1R3,20220428140114,20220426155108
-79.4252586859999,44.6289973520001,1918,172388740,M585,Long-Term Care Home,Non-Profit,Trillium Manor Home for the Aged, , , ,12 Grace Avenue, , ,Orillia,L3V2K2,20220428135931,20220426155137
-79.70850955,44.342115789,1958,172388621,2839,Long-Term Care Home,For-Profit,Roberta Place, , , ,503 Essa Road, , ,Barrie,L4N9E4,20220428140021,20220426155121
-81.437727071,42.958539865,1970,172388294,907,Long-Term Care Home,For-Profit,Country Terrace, , , ,10072 Oxbow Drive,R.R. 3, ,Komoka,N0L1R0,20220428140002,20220426155038
-82.430440717,42.258763193,1976,172388736,1064,Long-Term Care Home,For-Profit,Tilbury Manor Nursing Home, , , ,16 Fort Street,Postal Office Box 160, ,Tilbury,N0P2L0,20220428140057,20220426155136
-79.5268990339999,43.6970954860001,1981,172388722,2957,Long-Term Care Home,For-Profit,The Village of Humber Heights, , , ,2245 Lawrence Avenue West, , ,Toronto,M9P3W3,20220428135946,20220426155135
-75.890299053,44.8422124470001,1983,172388625,2671,Long-Term Care Home,For-Profit,Rosebridge Manor, , , ,131 Roses Bridge Road,R.R. 2, ,Jasper,K0G1G0,20220428135916,20220426155122
-81.265209618,42.969474276,2032,172388329,3054,Long-Term Care Home,For-Profit,Elmwood Place, , , ,3400 Morgan Avenue, , ,London,N6L0G7,20220428140002,20220426155043
-77.2578735239999,43.9270248290001,2037,172388780,997,Long-Term Care Home,For-Profit,West Lake Terrace, , , ,1673 County Road 12,"R. R. 1, Unit 12", ,Prince Edward,K0K2T0,20220428140057,20220426155142
-79.5605990399999,43.6474911760001,2062,172388319,2468,Long-Term Care Home,For-Profit,Eatonville Care Centre, , , ,420 The East Mall, , ,Toronto,M9B3Z9,20220428140039,20220426155042
-80.952997389,43.723780923,2108,172388242,2664,Long-Term Care Home,For-Profit,Caressant Care Listowel Nursing Home, , , ,710 Reserve Avenue South, , ,Listowel,N4W2L1,20220428140002,20220426155031
-79.401535891,43.672527388,2115,172388663,2594,Long-Term Care Home,For-Profit,St. George Care Community, , , ,225 St. George Street, , ,Toronto,M5R2M2,20220428140057,20220426155127
-79.311973066,43.705456198,2120,172388661,2719,Long-Term Care Home,Non-Profit,St. Clair O'Connor Community Nursing Home, , , ,2701 Saint Clair Avenue East, , ,Toronto,M4B3M3,20220428135946,20220426155126
-79.233792896,43.18995791,2164,172388526,3016,Long-Term Care Home,Non-Profit,Mennonite Brethren Senior Citizens Home, , , ,1 Tabor Drive, , ,St. Catharines,L2N1V9,20220428135946,20220426155109
-79.1218591639999,43.2267304220001,2167,172388594,2799,Long-Term Care Home,Non-Profit,Pleasant Manor Retirement Village, , , ,15 Elden Street,Postal Office Box 500, ,Niagara-on-the-Lake,L0S1T0,20220428135931,20220426155118
-80.8439199649999,43.839943648,2206,172388629,2767,Long-Term Care Home,For-Profit,Royal Terrace, , , ,600 Whites Road, , ,Palmerston,N0G2P0,20220428140003,20220426155122
-75.660424728,45.44303346,2219,172388260,M511,Long-Term Care Home,Non-Profit,Centre d'Accueil Champlain, , , ,275 Perrier Avenue, , ,Ottawa,K1L5C6,20220428140056,20220426155034
-78.288037559,43.9507894870001,2221,172388607,2511,Long-Term Care Home,For-Profit,Regency Long Term Care Home, , , ,66 Dorset Street East, , ,Port Hope,L1A1E3,20220428140021,20220426155119
-80.937500566,46.5071638860001,2243,172388339,2590,Long-Term Care Home,For-Profit,Extendicare Falconbridge, , , ,281 Falconbridge Road, , ,Greater Sudbury,P3A5K4,20220428135916,20220426155044
-81.2156505089999,43.046015691,2267,172388440,3045,Long-Term Care Home,For-Profit,Henley Place, , , ,1961 Cedarhollow Boulevard, , ,London,N5X0K2,20220428135916,20220426155058
-79.11793935,43.077208995,2286,172388566,2661,Long-Term Care Home,For-Profit,Oakwood Park Lodge, , , ,6747 Oakwood Drive, , ,Niagara Falls,L2G0J3,20220428135946,20220426155114
-80.328360757,43.345607187,2290,172388660,2926,Long-Term Care Home,For-Profit,St. Andrew's Terrace Long Term Care Community, , , ,255 St. Andrew's Street, , ,Cambridge,N1S1P1,20220428135931,20220426155126
-79.2469634829999,42.977741171,2344,172388309,M604,Long-Term Care Home,Non-Profit,Douglas H. Rapelje Lodge, , , ,277 Plymouth Road, , ,Welland,L3B6E3,20220428135916,20220426155040
-82.3650649639999,43.0030684270001,2394,172388748,2889,Long-Term Care Home,For-Profit,Twin Lakes Terrace Long Term Care Community, , , ,1310 Murphy Road, , ,Sarnia,N7S6K5,20220428135931,20220426155138
-79.2032562379999,43.7817425160001,2438,172388638,M571,Long-Term Care Home,Non-Profit,Seven Oaks, , , ,9 Neilson Road, , ,Toronto,M1E5E1,20220428135916,20220426155123
-80.20786077,42.7878810930001,2498,172388310,1056,Long-Term Care Home,For-Profit,Dover Cliffs, , , ,501 St. George Street,Postal Office Box 430, ,Port Dover,N0A1N0,20220428140002,20220426155040
-76.188378584,45.2295156010001,2538,172388376,2973,Long-Term Care Home,Non-Profit,Fairview Manor, , , ,75 Spring Street, , ,Mississippi Mills,K0A1A0,20220428140002,20220426155049
-75.6960323389999,45.4322188570001,2551,172388326,2759,Long-Term Care Home,Non-Profit,Nlisabeth-Bruy re Residence, , , ,75 Bruyère Street, , ,Ottawa,K1N5C8,20220428140021,20220426155042
-79.082685205,43.846230033,2569,172388569,2693,Long-Term Care Home,For-Profit,Orchard Villa, , , ,1955 Valley Farm Road, , ,Pickering,L1V3R6,20220428140115,20220426155115
-84.319547458,46.5519995060001,2575,172388257,7093,Long-Term Care Home,For-Profit,Cedarwood Lodge, , , ,860 Great Northern Road, , ,Sault Ste. Marie,P6B0B5,20220428140114,20220426155033
-88.2760873559999,49.015456811,2579,172388548,2793,Long-Term Care Home,Non-Profit,Nipigon District Memorial Hospital, , , ,125 Hogan Road,Postal Office Box 37, ,Nipigon,P0T2J0,20220428140039,20220426155112
-79.506981427,43.689385186,2598,172388783,2848,Long-Term Care Home,Non-Profit,West Park Long Term Care Centre, , , ,82 Buttonwood Avenue, , ,Toronto,M6M2J5,20220428135916,20220426155143
-79.683311041,43.2103511930001,2603,172388568,2477,Long-Term Care Home,For-Profit,Orchard Terrace Care Centre, , , ,199 Glover Road, , ,Hamilton,L8E5J2,20220428140056,20220426155114
-80.329231213,42.840286097,2625,172388258,2768,Long-Term Care Home,For-Profit,Cedarwood Village, , , ,500 Queensway West, , ,Simcoe,N3Y4R4,20220428140114,20220426155033
-82.431744019,49.424019043,2629,172388553,3027,Long-Term Care Home,Non-Profit,North Centennial Manor, , , ,2 Kimberly Drive, , ,Kapuskasing,P5N1L5,20220428140039,20220426155113
-80.35454297,43.404270996,2652,172388413,1033,Long-Term Care Home,For-Profit,Golden Years Nursing Home, , , ,704 Eagle Street North,Postal Office Box 3277, ,Cambridge,N3H4T3,20220428135946,20220426155054
