NAME,NAME
Cobourg (Northumberland Hills Hospital),1
Collingwood,1
Combermere/Kamaniskeg Lake,1
Deep River/Rolph,1
Confederation Lake,1
Constance Lake,1
Cookstown,1
Cornwall (Community Hosp McConnell Site),1
Cornwall Regional,1
Cottam,1
Cushing Lake,1
De Lesseps Lake,1
Lindsay,1
Lucan,1
Little Current,1
Teeswater (Thompson Field),1
South River/Sundridge,1
Southampton,1
Springwater (Barrie Airpark),1
St. Catharines/Niagara District,1
St. Joseph Island,1
St. Thomas Muni,1
Staunton Lake,1
Stewart Lake,1
Stirling,1
Stoney Creek,1
Stoney Point (Le Cunff),1
Straffordville,1
Stratford Muni,1
Strathroy (Blue Yonder),1
Sturgeon Falls (West Nipissing General Hospital),1
Sudbury,1
Sudbury/ Azilda,1
Sudbury/Coniston,1
Sudbury/Ramsey Lake,1
Smoky Lake,1
Smiths Falls-Montague (Russ Beach),1
Smiths Falls (Community Hospital),1
Sand Point Lake,1
Rainy River,1
Red Lake (Margaret Cochenour Mem Hospital),1
Renfrew (Victoria Hospital),1
Renfrew/Black Donald Lake,1
Renfrew/Hurds Lake,1
Rockton,1
Rodney (New Glasgow),1
Sachigo Lake,1
Sarnia (Chris Hadfield),1
Slate Falls,1
Sault Ste. Marie/Partridge Point,1
Savant Lake (Sturgeon Lake),1
Sexsmith/Exeter,1
Shelburne/Fisher Field,1
Simcoe (Dennison Field),1
Simcoe (Norfolk Gen Hospital),1
Sioux Narrows,1
Skeleton Lake,1
Summer Beaver,1
Temagami,1
Port Stanton/Sparrow Lake,1
Temagami/Mine Landing,1
Trenton/Mountain View,1
Tyendinaga (Mohawk),1
Upsala,1
Uxbridge (Cottage Hospital),1
Walkerton (County Of Bruce General Hospital),1
Wawa,1
Webequie,1
Welland (County General Hospital),1
Welland/Niagara Central,1
Westport/Rideau Lakes,1
White River,1
Wiarton,1
Winchester,1
Windermere,1
Windsor,1
Wingham/Richard W. LeVan,1
Woodstock,1
Wunnumin Lake,1
Wyevale (Boker Field),1
Trenton,1
Tottenham/Volk,1
Toronto/Wilson`s,1
Toronto (St. Michael`s Hospital),1
Thessalon Muni,1
Thunder Bay (Health Science Centre),1
Tillsonburg,1
Timmins/Porcupine Lake,1
Timmins/Victor M. Power,1
Tobermory,1
Toronto (Hospital For Sick Children),1
Toronto (Mississauga Credit Valley Hospital),1
Toronto (Sunnybrook Medical Centre),1
Toronto/Tarten,1
Toronto/ Billy Bishop Toronto City Airport,1
Toronto/Billy Bishop Toronto City Airport,1
Toronto/Buttonville Municipal,1
Toronto/Cardinal Couriers,1
Toronto/Downsview,1
Toronto/Lester B. Pearson Intl,1
Toronto/Markham,1
Toronto/Oshawa Muni,1
Portage Lake,1
Port Perry (Community Memorial Hospital),1
Little Current (Manitoulin Health Centre),1
Ogoki Post,1
Milton (District Hospital),1
Miminiska,1
Minaki/Pistol Lake,1
Mindemoya (Hospital),1
Minden (Hospital),1
Moose Factory,1
Morrisburg,1
Mount Forest (Louise Marshall Hospital),1
Muskoka,1
Muskrat Dam,1
Nestor Falls/Sabaskong Bay,1
New Liskeard (Temiskaming Hospital),1
New Lowell,1
Niagara Falls,1
Niagara Falls/Niagara South,1
Nipigon (District Memorial Hospital),1
Nixon,1
Nobel/Sawdust Bay,1
North Spirit Lake,1
Milton (Afi),1
Midland/Huronia,1
Midland (Huronia District Hospital),1
Manitouwadge,1
Little Lake,1
London,1
London (University Hospital),1
London (Victoria Hospital),1
London/Chapeskie Field,1
Wyoming (Reeces Corners),1
Lucknow Airpark,1
Mac Tier/Francis Island,1
Manitouwadge (General Hospital),1
Melbourne,1
Manitowaning,1
Manitowaning/Manitoulin East Muni,1
Mansfield,1
Marathon,1
Marathon (Wilson Memorial Hospital),1
Markdale (Centre Grey General Hospital),1
Markham Stouffville,1
Meaford (General Hospital),1
Oakville (Trafalgar Memorial Hospital),1
Opapimiskan Lake,1
Port Loring,1
Orangeville/Murray Wesley Kot Field,1
Pays Plat,1
Peawanuck,1
Pelee Island,1
Pembroke,1
Pembroke (Regional Hosp),1
Pendleton,1
Perry Lake,1
Perth (Great War Memorial Hospital),1
Petawawa,1
Peterborough,1
Peterborough (Regional Health Centre),1
Picton,1
Plevna/Tomvale,1
Poplar Hill,1
Port Carling/Butterfly Lake,1
Port Colborne,1
Port Colborne (General Hospital),1
Port Elgin,1
Port Elgin (Pryde Field),1
Parry Sound/Huron Island,1
Parry Sound/Frying Pan Island-Sans Souci,1
Parry Sound/Derbyshire Island,1
Ottawa/Dwyer Hill,1
Orillia,1
Orillia (Ontario Provincial Police),1
Orillia/Lake St John,1
Orillia/Matchedash Lake,1
Orton/Smith Field,1
Ottawa (Children`s Hospital),1
Ottawa (Civic Hospital),1
Ottawa/Carp,1
Ottawa/Embrun,1
Parry Sound/Deep Bay,1
Ottawa/Macdonald-Cartier Intl,1
Owen Sound (Grey Bruce Health Services),1
Owen Sound/Billy Bishop Regional,1
Palmerston,1
Palmerston (District Hospital),1
Parry Sound Area Muni,1
Parry Sound Harbour,1
Parry Sound Medical,1
Ajax (Pickering General Hospital),1
